state,decision_id,decision,score,distinctive_max,distance_km,grid3_id,grid3_code,grid3_name,grid3_admin_path,hfr_id,hfr_code,hfr_name,hfr_admin_path,evidence,review_outcome,reviewer,reviewed_at,reason
Kano,xwd:sha256:0d636940caf1ddd7139de3de02c7efc3f3b006282c00930b2c02d96b3db2793e,review,0.578,0.871,135.06,grid3:5f3a9185-a7ee-4f92-ab08-a1802cf394ad,19/07/1/1/1/0015,Yalwa (Dal) Primary Health Center,"{""admin1"": ""Kano"", ""admin2"": ""Dala"", ""settlement"": ""Yalwa Dala""}",hfr:dfd13aae-a29d-4f5f-b3b5-3cb1107c6b8e,dfd13aae-a29d-4f5f-b3b5-3cb1107c6b8e,Yalwa Primary Health Center,"{""admin1"": ""Kano"", ""admin2"": ""Doguwa"", ""settlement"": ""KN1110""}","{""admin_path"": 0.3, ""distance_km"": 135.06, ""geo"": 0.0, ""geo_conflict_km"": 135.06, ""name"": 0.912, ""name_tftoken"": 0.672, ""name_type"": 1.0}",,,,
Kano,xwd:sha256:0d81cb9fe42766bc4f82e802bb258e997587fee1760f58a9651e7100c465aa9b,review,0.6251,0.873,0.0,grid3:c22053ce-3d32-48fc-a184-9c810bea329b,19/22/1/1/1/0001,Dambazau (Kry) Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Karaye"", ""settlement"": ""Kurugu""}",hfr:c22053ce-3d32-48fc-a184-9c810bea329b,c22053ce-3d32-48fc-a184-9c810bea329b,Danbazau Health Post,"{""admin1"": ""Kano"", ""admin2"": ""Karaye"", ""settlement"": ""KN2203""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 0.873, ""name_tftoken"": 0.203, ""name_type"": 1.0}",,,,
Ondo,xwd:sha256:001333f93712f443d74cea3aea54ba448e562ab11dd06202a6a8b8c16e229be0,match,0.83,0.917,0.0,grid3:8e96d83e-6953-4b10-9595-bf41d32c03ba,28/09/1/1/1/0026,Obatedo Basic Health Center,"{""admin1"": ""Ondo"", ""admin2"": ""Idanre"", ""settlement"": ""Irowo""}",hfr:8e96d83e-6953-4b10-9595-bf41d32c03ba,8e96d83e-6953-4b10-9595-bf41d32c03ba,Obatedo Health Center,"{""admin1"": ""Ondo"", ""admin2"": ""Idanre"", ""settlement"": ""ODSIDNE06""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 0.917, ""name_tftoken"": 0.772, ""name_type"": 1.0}",,,,
Ondo,xwd:sha256:004e608a056f292751245ec47f4e7b658fb712c3143c0eadf603b55ccfdfe9e3,match,0.8469,0.845,0.0,grid3:77943d6f-eabd-4833-813d-38bbf1410ab2,28/13/1/1/1/0027,Mile 9 Basic Health Center,"{""admin1"": ""Ondo"", ""admin2"": ""Odigbo"", ""settlement"": ""Ore 2""}",hfr:77943d6f-eabd-4833-813d-38bbf1410ab2,77943d6f-eabd-4833-813d-38bbf1410ab2,Mile 9 Health Center,"{""admin1"": ""Ondo"", ""admin2"": ""Odigbo"", ""settlement"": ""ODSODI11""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 0.914, ""name_tftoken"": 0.827, ""name_type"": 1.0}",,,,
Ondo,xwd:sha256:005872ec7346d9b8825c76b1e5425963e29fd8d82fa18f3a4e5131114320adff,match,0.8565,0.847,0.05,grid3:a3d2dbf0-dc02-41c5-aafc-b8c4f2043f4b,,Mother and Child Hospital,"{""admin1"": ""Ondo"", ""admin2"": ""Akure South"", ""settlement"": ""Oke-Aro""}",hfr:90e76049-daa2-4bd3-a3c2-34695fbc92b3,90e76049-daa2-4bd3-a3c2-34695fbc92b3,Mother and Child,"{""admin1"": ""Ondo"", ""admin2"": ""Akure South"", ""settlement"": ""ODSAKS09""}","{""admin_path"": 0.6, ""distance_km"": 0.05, ""geo"": 0.983, ""name"": 0.928, ""name_tftoken"": 0.85}",,,,
Ondo,xwd:sha256:0098bcce2bd876d131aaecfd9d2c212b4130a7d091607df78302c972b0d3c73c,match,0.9333,0.888,0.0,grid3:701962cc-47a3-44d2-9039-0b95884dea10,,Oke Iju Basic Health Center,"{""admin1"": ""Ondo"", ""admin2"": ""Akure North"", ""settlement"": ""Moferere""}",hfr:701962cc-47a3-44d2-9039-0b95884dea10,701962cc-47a3-44d2-9039-0b95884dea10,Oke Iju Basic Health Center,"{""admin1"": ""Ondo"", ""admin2"": ""Akure North"", ""settlement"": ""ODSAKN05""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 1.0, ""name_phrase"": ""oke iju"", ""name_phrase_rarity"": 0.888, ""name_tftoken"": 1.0, ""name_type"": 1.0}",,,,
Ondo,xwd:sha256:00efb25b5a2b8918965e26cb6bb93753d0de0e7895dd6e35a79ca76fe7653fff,match,0.796,0.889,0.0,grid3:60bfc0c7-076d-405f-9c13-80ac17c7ecb6,28/05/1/2/1/0001,Irun Akoko General Hospital,"{""admin1"": ""Ondo"", ""admin2"": ""Akoko North West"", ""settlement"": ""Oke-Irun/Surulere""}",hfr:60bfc0c7-076d-405f-9c13-80ac17c7ecb6,60bfc0c7-076d-405f-9c13-80ac17c7ecb6,Irun General Hospital,"{""admin1"": ""Ondo"", ""admin2"": ""Akoko North West"", ""settlement"": ""ODSANW09""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 0.889, ""name_tftoken"": 0.699, ""name_type"": 1.0}",,,,
Ondo,xwd:sha256:00f65de2c2a96f7d3774a242dbf6f4248febff37d9773a81a1ee18607467e594,match,0.7628,0.826,0.0,grid3:544494d8-be0f-489c-8c71-073651a261e2,28/06/1/2/1/0001,Iju Itaogbolu General Hospital,"{""admin1"": ""Ondo"", ""admin2"": ""Akure North"", ""settlement"": ""Ayetoro""}",hfr:544494d8-be0f-489c-8c71-073651a261e2,544494d8-be0f-489c-8c71-073651a261e2,Iju General Hospital,"{""admin1"": ""Ondo"", ""admin2"": ""Akure North"", ""settlement"": ""ODSAKN01""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 0.853, ""name_tftoken"": 0.635, ""name_type"": 1.0}",,,,
Ondo,xwd:sha256:00feae2d5e5884277a0600fa8bb954722311d8743dc4fefded58046652ef0d2b,match,0.9333,0.86,0.0,grid3:719e4f3f-14d9-4566-9867-46e60bf9524b,,Idig Bengben Hospital,"{""admin1"": ""Ondo"", ""admin2"": ""Ilaje"", ""settlement"": ""Aheri""}",hfr:719e4f3f-14d9-4566-9867-46e60bf9524b,719e4f3f-14d9-4566-9867-46e60bf9524b,Idig Bengben Hospital,"{""admin1"": ""Ondo"", ""admin2"": ""Ilaje"", ""settlement"": ""ODSIAE01""}","{""admin_path"": 0.6, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0, ""name_type"": 1.0}",,,,
Ondo,xwd:sha256:011efd3ce9a2fd36054b21fde3724b1769d1f5d9f09b0c354cbd0e885b9abb0e,match,0.8833,0.86,0.0,grid3:ac6d2748-20d4-48e1-85ce-463b8c9ed82b,28/08/1/1/1/0026,Obontoru Basic Health Center,"{""admin1"": ""Ondo"", ""admin2"": ""Ese Odo"", ""settlement"": ""Arogbo 1""}",hfr:ac6d2748-20d4-48e1-85ce-463b8c9ed82b,ac6d2748-20d4-48e1-85ce-463b8c9ed82b,Obontoru Basic Health Center,"{""admin1"": ""Ondo"", ""admin2"": ""Irele"", ""settlement"": ""ODSIRL04""}","{""admin_path"": 0.3, ""distance_km"": 0.0, ""geo"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0, ""name_type"": 1.0}",,,,
