wd_id,name,lat,lon
Q6410963,King's Health Partners,51.503754,-0.087933
Q6670564,London Lock Hospital,51.5002,-0.1495
Q5908729,Hospital for Tropical Diseases,51.5227,-0.1356
Q5908758,Hospital of St John and St Elizabeth,51.5328,-0.174167
Q6669893,London Bridge Hospital,51.5064,-0.0859
Q6670225,London Chest Hospital,51.5321,-0.04926
Q6411611,"King George Hospital, London",51.580417,0.112083
Q7060443,Northwick Park Hospital,51.576,-0.322
Q7270448,"Queen Mary's Hospital, Sidcup",51.418889,0.101389
Q7085524,Oldchurch Hospital,51.5713,0.1781
Q6825097,Metropolitan Free Hospital,51.540558,-0.076711
Q7373850,Royal Brompton Hospital,51.4894,-0.1707
Q7270446,Queen Mary's Hospital,51.4553,-0.2422
Q6924380,Mount Vernon Hospital,51.6168,-0.4447
Q7245500,Priory Hospital,51.462604,-0.252054
Q7270343,"Queen Elizabeth Hospital, London",51.478889,0.051111
Q7270013,Queen's Hospital,51.5691,0.1789
Q6975110,National Psychosis Unit,51.38087,-0.03061
Q7270242,Queen Charlotte's and Chelsea Hospital,51.5161,-0.2373
Q6978895,National Temperance Hospital,51.5287,-0.1381
Q7007110,New End Hospital,51.5583,-0.177778
Q7231952,Portland Hospital,51.5227,-0.1436
Q6837376,Michie Hospital,51.5,-0.1797
Q7244808,Princess Royal University Hospital,51.365278,0.053611
Q7056104,North Middlesex University Hospital,51.613056,-0.075
