score,distance_km,osm_name,grid3_name,decision_id
0.8000,27.07,Kantama Babba Health Post,Kantama Babba Health Post,xwd:sha256:549548bb2b70e79d3c7fb85d4e258e28211adcf39d989b8610a146511d07fcbf
0.8000,38.39,Gera Health Post,Gera Health Post,xwd:sha256:bb56cc6c45d14ed8615d19aca9e826c5aeacaa39cb7a3a5eb1f3d7b3fedf8ff3
0.8000,34.01,Gajida Health Post,Gajida Health Post,xwd:sha256:6c8b6e9a99a4c563a597d6c0003784c1059cc25bf2d1fc8265f2caff8656c731
0.8000,52.26,Tsaraka Health Post,Tsaraka Health Post,xwd:sha256:a35ed7751207ab76600c76876eba5442c5ea85daf7c0cfd0a85002bfb07aa20b
0.8000,36.24,Kawaji Health Post,Kawaji Health Post,xwd:sha256:000ae0e2cccc64bbdbbbef022ca062d703fa9ccd68781b3ad698634da10a85ab
0.8000,67.86,Walawa Health Post,Walawa Health Post,xwd:sha256:9a022c41d9f43a90cbff1ffd98379f1bf6e3116e104cbabc4c935cbe4f78a314
0.6993,0.00,Takau Health Post,Takai Health Post,xwd:sha256:4c6223c1d576293260a834856cee7ebe32f6c1cdee1d8bbea37cd58819d8daab
0.6983,0.01,Maigari Health Post,Magari Health Post,xwd:sha256:b8a3d448f55c694043a24ff0fa08dd56ba1b621cac7b18391a325bb2265b861f
0.6976,0.54,Kore Primary Health Centre,Kore Health Post,xwd:sha256:2f26bcc5a668dca03a47907637f90a92c0f1acbfa61fcb56878027333fc8b2c6
0.6970,0.00,Ganji Health Post,Gamji Health Post,xwd:sha256:b37dbf7a635122857b9bc691d81712f28143dfb9b8ac69bef85203e0b8735eae
0.6941,0.58,Gulu Primary Health Centre,Gulu Health Post,xwd:sha256:b960ff5596ee50e19a06c6c67211645a8f54bdb33ff37fa3a46a77db47646337
0.6922,11.38,DALAL CLINIC,Dalal Health Clinic,xwd:sha256:7a34327243dcfc0fdb10cb7ab59b36f472ef175699cdcf432981ef1e53a16a45
0.6922,0.00,Umbarum Health Post,Umbara Health Post,xwd:sha256:e523951b65bd325c43e92570e24fe8ac1fb9ffa2694eaee0249c31660fcaeeed
0.6914,0.00,Shawu Health Post,Shawa Health Post,xwd:sha256:b3abcc4de9784e30b0c922e41677bf8e8a9444c19211f4b67931e74af6172613
0.6897,69.31,Goron Dutse Health Post,Goron Dutse Community Health Post,xwd:sha256:145dd9b60aad3e4caaf655b553efb9e0dd95dad6ac64d3c13052bf496f2a484e
0.6884,0.99,Tariwa Primary Health Centre,Tariwa Health Post,xwd:sha256:7fea54324d0a85cc8358c5764f266246673dff232b5d3b70bac81fc701547c79
0.6871,0.00,Belli Health Post,Balli Health Post,xwd:sha256:bcef7b436f929ed53573d1af1ca29c8404227ca5a0e7ded291628f20999e5a64
0.6869,0.00,Gammo M.P.H.C Primary Health Centre,Gammo Primary Health Center,xwd:sha256:5143c33c9b2a76dc91a8b25d3bcb9ce636d8255c739aaeb5c9bc4284b3bf40f5
0.6849,0.04,Kudurun Health Post,Kundirin Health Post,xwd:sha256:a4d34656a0f7a1bff70e8498df3af1fbc015900f19116e7dabcca86b0503ba9b
0.6842,0.00,Yaan'Awaki Health Post,Yan Awaki (Tyw) Health Post,xwd:sha256:507c97726164d4d21988b09ccf0361c91bd3a5d0804309bdaf2a43e385e790d7
0.6827,0.00,Fagwalo Health Post,Fagolo Health Post,xwd:sha256:62d23122658bbee8c2b58e8d583f55be6bd0f2c0cc985c9a3d5a7aefcfffce55
0.6819,2.02,Bagadawa Health Post,Nassarawar Bagadawa Health Post,xwd:sha256:3087b487442dbeac0891777aa942ce9632112f47486216ae6832164c4c2088a8
0.6812,0.00,Fanidau Health Post,Fan'Idau Health Post,xwd:sha256:ae51f7de4e82c1e608c5457e7b768c546d0f987428e4433f59eaef4dd91503bd
0.6810,0.14,Sauna Kawaji Health Post,Sauna Primary Health Center,xwd:sha256:8ce2f08bb0a48149633984dbbf25b4d292a9f9eb103947259c14b1cfc3a35cee
0.6809,1.75,Kafin Lemo Health Clinic,Kafin Lemu Health Clinic,xwd:sha256:67cb47c59c75014b05ee6887a0aa26fd8b7b820c513c3eb67208afb2bc92717e
0.6807,0.05,Dadin Kowa Primary Health Centre,Dadin Kowa Nursing and Maternity Home,xwd:sha256:9bfcbc79fcde7cb5b1812fe94f9e1970682c7b766bbedd93b8fa1ae17b323970
0.6806,4.05,Zango I Health Post,Zango 2 Health Post,xwd:sha256:0998d01abd81210b94270b6a6ac81ed165c83586dc3fcd0ebe7e9c73f49f15e5
0.6803,0.00,Danzabua Primary Health Centre,Danzabuwa Primary Health Center,xwd:sha256:8c7af482529a5cb51b42c940666ed1b3cb244e0d9af7f1317063be9e76070dac
0.6790,16.03,Zango I Health Post,Zango Health Post,xwd:sha256:934667b28820a4b233f90db9f738960c1d8e01538c46b9f5fccc4c8ec9885360
0.6787,0.01,Gandurwawa Primary Health Centre,Gadurwawa Primary Health Center,xwd:sha256:4ab3ad229e3f61db670852123dc8874bc59f84fb8267222239d4bc99695b1b2c
0.6781,23.73,Zango I Health Post,Zango Health Post,xwd:sha256:dc58d06e7bd78c40523cf0f61983652cdc44cd76630aac38a7bdf3e0cba2ba8c
0.6777,0.00,Kafinmaiko Health Post,Kafin Maiko Health Post,xwd:sha256:5094494029d57eb1d00dce5234a53ea6d3ae152dc21f217ec88eb98822069c2d
0.6776,4.05,Zango II Health Post,Zango 1 Health Post,xwd:sha256:97e27bbd07382bcae9cd4c6d0e8361f898c1e2490ebf9d90920179a1e54ebc8f
0.6765,0.49,Hotoro Primary Health Centre,Hotoro South Health Clinic,xwd:sha256:0052c85eccba29a4dc8f5cb0fa6ac010245397e889716a8f37498808498847b1
0.6754,0.02,Gwarmai Health Post,Gwarmai (Bebeji) Primary Health Center,xwd:sha256:b1481a06b4b88feb74fc72092268a001157fea54ef83bc69ea255b59b77d4add
0.6753,0.02,Gwarmai Health Post,Gwarmai (Bebeji) Primary Health Center,xwd:sha256:362046554d52f76ead35e71e22df1c9ba5185e8a4ad589261b9b5c7e529d8632
