OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
16070,d7fc6333-f4da-422e-b209-57e8b6ee0d26,86739158,06/02/1/1/1/0028,Nigeria,NGA,Bayelsa,Ekeremor,0,Oporomor 5  Ward10,0,Peretorugbene Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,4.97169,5.63858,GRID3_EHEALTH,2024-11-11,5.63858000000005,4.97169000000002
16071,734e557b-8f18-463e-a627-583e39847cbf,15081523,06/02/1/1/1/0003,Nigeria,NGA,Bayelsa,Ekeremor,0,Iduwini 1 Ward 11,0,Agge Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,5.12893,5.39079,GRID3_EHEALTH,2024-11-11,5.39079000000004,5.12893000000003
16072,57f16aa7-9c47-4c2c-9884-a70eb13a61e8,34174336,06/03/1/1/1/0004,Nigeria,NGA,Bayelsa,Kolokuma/Opokuma,0,Okoloba 10,0,Okoloba Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,5.04684,6.24267,GRID3_EHEALTH,2024-11-11,6.24267000000003,5.04684000000003
16073,a27afd55-fcbd-47a0-bc3d-1b0f6d38fadf,14141860,06/07/1/1/1/0010,Nigeria,NGA,Bayelsa,Southern Ijaw,0,Ekowe Ward 7,0,Ekowe Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,4.70417,6.08877,GRID3_EHEALTH,2024-11-11,6.08877000000007,4.70417000000003
16074,02aacc80-2b06-4e22-8166-4afa4c1a46b4,23506945,06/07/1/1/1/0037,Nigeria,NGA,Bayelsa,Southern Ijaw,0,Oporoma 1 Ward 1,1,Oporoma Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,4.81396,6.08116,GRID3_EHEALTH,2024-11-11,6.08116000000007,4.81396000000007
16075,5dbf0caf-aa53-42d6-afe6-f07201dcb4a3,32401267,28/05/1/1/1/0014,Nigeria,NGA,Ondo,Akoko North West,0,Ikaram / Erusu,0,Erusu Comprehensive Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,7.58941,5.81394,GRID3_EHEALTH,2024-11-11,5.81394000000006,7.58941000000004
16076,3f4d15b7-9eb2-43d5-8e93-d6a9ab8c3fa6,25957371,28/11/1/1/2/0001,Nigeria,NGA,Ondo,Ilaje,0,Mahin 3,0,Igbokoda Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,6.35451061761,4.80255921386,GRID3_EHEALTH,2024-11-11,4.80255921400004,6.35451061800006
16077,92dc5df5-63ad-4eeb-a7a0-85a6c2b54330,78657080,28/16/1/1/1/0024,Nigeria,NGA,Ondo,Ondo West,0,Igunshin,0,Igunshin Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.95711,4.85556,GRID3_EHEALTH,2024-11-11,4.85556000000003,6.95711000000006
16078,869c62a8-e787-48c2-ba47-1b0d6d8ce152,51014382,24/15/1/1/2/0013,Nigeria,NGA,Lagos,Lagos Mainland,0,Aderupoko,0,Total Victory Convalescent Home,NHFR_2024,Private,For Profit,Primary,Primary Health Clinic,6.50125,3.38913,GRID3_EHEALTH,2024-11-11,3.38913000000002,6.50125000000003
16079,e2972e86-5c98-4f60-a45a-e4e6afdeedb1,54863659,24/18/1/1/2/0022,Nigeria,NGA,Lagos,Oshodi/Isolo,0,Igbehinadun A,0,Di Imose Convalescent,NHFR_2024,Private,For Profit,Primary,Primary Health Clinic,6.56102,3.34354,GRID3_EHEALTH,2024-11-11,3.34354000000008,6.56102000000004
16080,fb9e9d43-43d3-4f8d-b4d1-bb5a6b8f6409,74902857,28/06/1/1/1/0002,Nigeria,NGA,Ondo,Akure North,0,Ogbese,0,Alayere Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,7.26292,5.36124,NHFR_2024,2024-11-11,5.36124000000007,7.26292000000007
16081,eb6932b9-d5dd-407c-bf93-135f311d64ca,51639313,28/18/1/1/1/0038,Nigeria,NGA,Ondo,Owo,0,Uso / Emure,0,Basic Health Centre Uso Maternity,NHFR_2024,Public,Unknown,Primary,Primary Health Center,7.27339,5.42234,GRID3_EHEALTH,2024-11-11,5.42234000000008,7.27339000000006
16082,ec84e42e-ec39-4d76-a0dc-1d8ae16bd69f,79670325,25/11/1/1/1/0081,Nigeria,NGA,Nasarawa,Obi,0,Adudu,1,Adudu Model Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,8.46709,8.62651,GRID3_EHEALTH,2024-11-11,8.62651000000005,8.46709000000004
16083,2aa8053a-08a4-472f-a004-fe31209bb22e,59660896,28/18/1/1/1/0028,Nigeria,NGA,Ondo,Owo,0,Ipele,0,Ipele Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,7.13194,5.66856,GRID3_EHEALTH,2024-11-11,5.66856000000007,7.13194000000004
16084,e26984cc-e0f3-4791-bb57-6adc778e9a9b,77100089,28/02/1/1/1/0017,Nigeria,NGA,Ondo,Akoko North East,0,Ikado 1,0,Okela Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,7.52954,5.75332,GRID3_EHEALTH,2024-11-11,5.75332000000003,7.52954000000005
16085,0ec19b1c-9a51-428f-b745-93134dc1a93f,80220678,28/02/1/1/1/0001,Nigeria,NGA,Ondo,Akoko North East,0,Isowopo 2,0,Akunnu Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Center,7.6281,5.9273,GRID3_EHEALTH,2024-11-11,5.92730000000006,7.62810000000007
16086,0dca7823-cada-418a-8529-bf341d540ded,20642341,28/02/1/1/1/0002,Nigeria,NGA,Ondo,Akoko North East,0,Ilepa 2,0,Alapata Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,7.52442,5.76387,GRID3_EHEALTH,2024-11-11,5.76387000000005,7.52442000000002
16087,f886b992-6501-4b17-b832-9776be1eda80,18603357,24/04/1/1/2/0014,Nigeria,NGA,Lagos,Amuwo Odofin,0,Orire,0,Holy Family Catholic Church Medical Centre,NHFR_2024,Private,For Profit,Secondary,Unknown,6.468295,3.282881667,GRID3_EHEALTH,2024-11-11,3.28288166700003,6.46829500000007
16088,0cda195d-d9aa-4815-b5db-70b19b3e48a5,78675159,28/04/1/1/1/0019,Nigeria,NGA,Ondo,Akoko South West,0,Oba,0,Oba Primary Health Care Clinic,NHFR_2024,Public,Unknown,Primary,Primary Health Clinic,7.37144,5.72331,GRID3_EHEALTH,2024-11-11,5.72331000000003,7.37144000000006
16089,9fbd16cb-673a-4b85-a87f-2eaf6742dc8a,58629314,28/04/1/1/1/0026,Nigeria,NGA,Ondo,Akoko South West,0,Supare 1,0,Okelisa Supare Primary Health Care Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,7.4449,5.69574,GRID3_EHEALTH,2024-11-11,5.69574000000006,7.44490000000008
16090,9ddfcbac-e57d-46fd-b566-288ff9881fc6,20045698,28/04/1/1/2/0003,Nigeria,NGA,Ondo,Akoko South West,0,Ikese,0,Owase Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,7.46143,5.79287,GRID3_EHEALTH,2024-11-11,5.79287000000005,7.46143000000006
16091,68e8fc4e-870e-4ea1-be4e-93e855164ed8,51420979,28/17/1/1/1/0003,Nigeria,NGA,Ondo,Ose,1,Afo,1,Oke Afo Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,7.39679,5.81626,GRID3_EHEALTH,2024-11-11,5.81626000000006,7.39679000000007
16092,16bee73f-1658-4804-9163-fb6af96e98dc,21446602,14/04/1/1/2/0013,Nigeria,NGA,Enugu,Enugu North,0,Gra West,0,Family Support Programme Medical Centre,NHFR_2024,Public,State Government,Primary,Primary Health Clinic,6.460510254,7.49810791,GRID3_EHEALTH,2024-11-11,7.49810791000004,6.46051025400004
16093,0b9c74ba-daf5-42c5-9370-7c5c5cbf0eab,76518429,24/02/1/1/1/0007,Nigeria,NGA,Lagos,Ajeromi/Ifelodun,0,Ojora,1,Oridilu Primary Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.464326667,3.351396667,GRID3_EHEALTH,2024-11-11,3.35139666700007,6.46432666700002
16094,a70411bd-d99d-4434-bba1-597a6accac88,23622592,24/08/1/1/2/0015,Nigeria,NGA,Lagos,Eti-Osa,0,Orile - Ilasan,1,Germaine Health Center,NHFR_2024,Private,Unknown,Primary,Primary Health Center,6.434903333,3.494006667,GRID3_EHEALTH,2024-11-11,3.49400666700006,6.43490333300002
16095,1cd12065-d257-4dec-bd85-a7ed551ac349,72457999,22/14/1/1/1/0030,Nigeria,NGA,Kogi,Ofu,0,Ogbonicha,0,Ogbonicha Primary Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,7.23753,7.31113,GRID3_EHEALTH,2024-11-11,7.31113000000005,7.23753000000005
16096,f020e28e-b8d0-4b05-903d-3c8565a87761,69516672,25/05/1/1/1/0018,Nigeria,NGA,Nasarawa,Keana,0,Galadima (Gusau),0,Kpalev Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,8.20771243019,8.60479612739,GRID3_EHEALTH,2024-11-11,8.60479612700004,8.20771243000007
16097,5e71ad55-00ad-4f91-9a58-215b9f04d39b,56428116,25/05/1/1/1/0011,Nigeria,NGA,Nasarawa,Keana,0,Madaki,0,Giza Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,8.19525160166,8.6464,GRID3_EHEALTH,2024-11-11,8.64640000000003,8.19525160200004
16098,61734cdf-359d-4256-a24b-4388913d422e,48497679,25/05/1/1/1/0041,Nigeria,NGA,Nasarawa,Keana,1,Kadarko,1,Gidan Dogo Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,8.26648394415,8.58403302793,GRID3_EHEALTH,2024-11-11,8.58403302800002,8.26648394400007
16099,123d3b91-3fb0-4a8d-a259-6f99721c983d,31945788,25/05/1/1/1/0016,Nigeria,NGA,Nasarawa,Keana,0,Kadarko,1,Kadarko Model Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,8.22767,8.57938,GRID3_EHEALTH,2024-11-11,8.57938000000007,8.22767000000005
16100,5d2884fb-52b2-49e7-9332-0ba164ca2d5f,62160499,25/05/1/1/1/0008,Nigeria,NGA,Nasarawa,Keana,0,Iwagu,1,Demekaa Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,8.07998524349,8.78132419109,GRID3_EHEALTH,2024-11-11,8.78132419100007,8.07998524300007
16101,a3db6475-943d-4999-bf63-93b6dec88782,46480478,25/11/1/1/1/0034,Nigeria,NGA,Nasarawa,Keana,1,Agaza,1,Agaza Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,8.29066940226,8.81170285253,GRID3_EHEALTH,2024-11-11,8.81170285200005,8.29066940200005
16102,a3e810ae-1c2a-42ff-88ff-f7ef8a0bef87,36137838,25/05/1/1/1/0014,Nigeria,NGA,Nasarawa,Keana,0,Iwagu,0,Iwagu Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,8.14553,8.79346,GRID3_EHEALTH,2024-11-11,8.79346000000004,8.14553000000006
16103,b571729b-646f-4116-b773-f31496bac470,31572973,25/05/1/1/1/0027,Nigeria,NGA,Nasarawa,Keana,0,Amiri,1,Uluji Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,8.21938,8.9098,GRID3_EHEALTH,2024-11-11,8.90980000000008,8.21938000000006
16104,d38db4b0-0f8a-4253-b664-f85d9c22208c,81927673,25/05/1/1/1/0017,Nigeria,NGA,Nasarawa,Keana,0,Madaki,0,Kalachi Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,8.17526,8.67916,GRID3_EHEALTH,2024-11-11,8.67916000000002,8.17526000000004
16105,5d4e89be-98c8-40f0-9b14-0a08003a42ea,84183610,10/13/1/1/1/0008,Nigeria,NGA,Delta,Okpe,0,Orerokpe,0,Orerokpe Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,5.63535,5.88931,NHFR_2024,2024-11-11,5.88931000000002,5.63535000000007
16106,3553a768-167d-4b3e-b674-5dcfe4583957,37918263,10/15/1/1/2/0016,Nigeria,NGA,Delta,Oshimili South,0,Umuagu,0,Nwakaego Madumezia Memorial Medical Center,NHFR_2024,Private,For Profit,Secondary,Primary Health Center,6.203308105,6.725280762,GRID3_EHEALTH,2024-11-11,6.72528076200007,6.20330810500008
16107,8bf1d72c-44f7-4ed9-a6ef-39f2cb2cb4bc,27501669,25/11/1/1/1/0035,Nigeria,NGA,Nasarawa,Obi,0,Daddare,0,Agewu Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,8.45398302793,8.70919579275,GRID3_EHEALTH,2024-11-11,8.70919579300005,8.45398302800004
16108,32b7f43b-7734-426c-84af-5a13fff9bd62,84212506,25/11/1/1/1/0012,Nigeria,NGA,Nasarawa,Obi,0,Tudun Adabu,1,Kwaghshiri Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,8.39786,8.836,GRID3_EHEALTH,2024-11-11,8.83600000000007,8.39786000000004
16109,585ed14b-4521-4224-bfb6-6d6db04a64e7,63027099,25/11/1/1/1/0080,Nigeria,NGA,Nasarawa,Obi,0,Tudun Adabu,1,Aba'Agu Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,8.32178285253,8.74782204016,GRID3_EHEALTH,2024-11-11,8.74782204000007,8.32178285200007
16110,aa63f0c2-05f9-4334-a4ce-0041dc3ad9eb,62880457,25/05/1/1/1/0036,Nigeria,NGA,Nasarawa,Keana,0,Galadima (Gusau),0,Iwanev Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,8.22941251789,8.64936209554,GRID3_EHEALTH,2024-11-11,8.64936209500007,8.22941251800006
16111,90645132-3bfe-4c43-af19-6521c39e968f,16259019,04/18/1/1/1/0007,Nigeria,NGA,Anambra,Onitsha South,0,Bridge Head Ward 3,0,Queen Of Peace Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,6.12907,6.78503,GRID3_EHEALTH,2024-11-11,6.78503000000006,6.12907000000007
16112,0e539619-52d2-4af1-b326-758a498ce9b4,30691650,04/18/1/1/1/0009,Nigeria,NGA,Anambra,Onitsha South,0,Fegge Ward 1,1,Redemption Health Post,NHFR_2024,Public,Local Government,Primary,Health Post,6.13357,6.77734,GRID3_EHEALTH,2024-11-11,6.77734000000004,6.13357000000002
16113,64498915-f847-40d7-aebf-f88925da8064,86410209,25/11/1/1/1/0082,Nigeria,NGA,Nasarawa,Obi,0,Agwatashi,0,Agwatashi Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,8.32079,8.84965,GRID3_EHEALTH,2024-11-11,8.84965000000005,8.32079000000004
16114,4267217d-b8ec-4c2e-b13b-379bc022cf5f,28111918,25/11/1/1/1/0059,Nigeria,NGA,Nasarawa,Obi,0,Daddare,0,Daddere Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,8.4461301754,8.71040570505,GRID3_EHEALTH,2024-11-11,8.71040570500003,8.44613017500006
16115,1cd9b55c-c5c0-4a34-b9a6-6ffe64ea834a,64839204,06/01/1/1/1/0011,Nigeria,NGA,Bayelsa,Brass,0,Minibie 9,0,Minibie Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,4.30975,6.05374,GRID3_EHEALTH,2024-11-11,6.05374000000006,4.30975000000007
16116,229cbf08-c454-4ee3-b9e0-7f64cac5a228,44967539,06/02/1/1/1/0004,Nigeria,NGA,Bayelsa,Ekeremor,0,Iduwini 1 Ward 11,0,Aghoro Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,5.12482,5.44085,GRID3_EHEALTH,2024-11-11,5.44085000000007,5.12482000000006
16117,73677fc3-0462-4f97-a3ac-c1e59bdf5b67,76482946,06/01/1/1/1/0020,Nigeria,NGA,Bayelsa,Brass,0,Sangana 10,0,Sangana Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,4.33508,5.9859,GRID3_EHEALTH,2024-11-11,5.98590000000007,4.33508000000006
16118,403eacd0-02f8-4509-a5d2-c1aad0f6c421,58483146,06/03/1/1/1/0001,Nigeria,NGA,Bayelsa,Kolokuma/Opokuma,0,Opokuma North 7,0,Alaere Alaibe Primary Health Care Center,NHFR_2024,Private,Not For Profit,Primary,Primary Health Center,5.07242,6.27473,GRID3_EHEALTH,2024-11-11,6.27473000000003,5.07242000000002
16119,a9776557-b3b2-4e38-8fca-5f6bb968e1f6,80092688,06/04/1/2/1/0002,Nigeria,NGA,Bayelsa,Nembe,0,Ogbolomabiri 3,0,Nembe General Hospital,NHFR_2024,Public,State Government,Secondary,General Hospital,4.54242,6.39648,GRID3_EHEALTH,2024-11-11,6.39648000000005,4.54242000000005
16120,526497e6-f3dc-4ed2-8faf-4f48957e52e3,23085927,06/04/1/1/1/0015,Nigeria,NGA,Bayelsa,Nembe,0,Igbeta-Ewo-Ama 8,1,Nembe Creek Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,4.43956,6.32513,GRID3_EHEALTH,2024-11-11,6.32513000000006,4.43956000000003
16121,2ef6fce7-6a30-4675-8c95-593136db463a,76249295,06/04/1/1/1/0019,Nigeria,NGA,Bayelsa,Nembe,0,Okoroma 10,1,Oguama Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,4.634756938,6.310710294,GRID3_EHEALTH,2024-11-11,6.31071029400005,4.63475693800007
16122,b34a43c6-e839-42d1-8b5a-b5b3e8d91ff4,49129735,06/07/1/1/1/0021,Nigeria,NGA,Bayelsa,Southern Ijaw,0,Igbomoturu Ward 6,1,Igbomotoru 2 Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,4.55391608,6.029177295,GRID3_EHEALTH,2024-11-11,6.02917729500007,4.55391608000002
16123,157563c8-6ce9-4c9a-8211-7e169b2b83b1,12472312,02/14/1/1/1/0016,Nigeria,NGA,Adamawa,Mubi North,0,Kolere,0,Kolere Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,10.26601,13.27333,GRID3_EHEALTH,2024-11-11,13.27333,10.2660100000001
16124,55edc492-48f1-42f4-8b0e-7e2873e8a68e,63285691,06/02/1/1/1/0013,Nigeria,NGA,Bayelsa,Ekeremor,0,Iduwini 2 Ward 12,0,Egbemo Angalabiri Primary Health Care Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,4.92466,5.81611,GRID3_EHEALTH,2024-11-11,5.81611000000004,4.92466000000007
16125,9b366eab-6e01-4073-879d-00a90bbd71a8,58676943,28/08/1/1/1/0022,Nigeria,NGA,Ondo,Ese Odo,0,Apoi 3,0,Inikorogha Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,6.42611,4.88114,NHFR_2024,2024-11-11,4.88114000000007,6.42611000000005
16126,f3ee09ec-94e6-44a2-95a0-b9389190d8d8,86872573,28/11/1/1/1/0012,Nigeria,NGA,Ondo,Ilaje,0,Ugbo 2,0,Ugbonla Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,6.14014,4.78927,GRID3_EHEALTH,2024-11-11,4.78927000000004,6.14014000000003
16127,1ac54f45-3baa-47bb-8e3f-352b67f42284,27880445,28/11/1/1/1/0040,Nigeria,NGA,Ondo,Ilaje,0,Aheri,0,Zion Pepe Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,6.29301,4.59506,GRID3_EHEALTH,2024-11-11,4.59506000000005,6.29301000000004
16128,653ebc3a-9c1c-439a-955b-af320fd42d09,54051065,28/11/1/2/1/0001,Nigeria,NGA,Ondo,Ilaje,0,Mahin 3,0,Igbokoda General Hospital,NHFR_2024,Public,State Government,Secondary,General Hospital,6.36654,4.79033,GRID3_EHEALTH,2024-11-11,4.79033000000004,6.36654000000004
16129,6c812579-99dc-4aa9-a0ee-a009f04e80d2,58722415,28/11/1/1/1/0008,Nigeria,NGA,Ondo,Ilaje,0,Ugbo 2,0,Ayetoro Primary Health Center,NHFR_2024,Public,Local Government,Primary,Primary Health Center,6.10492,4.78019,GRID3_EHEALTH,2024-11-11,4.78019000000006,6.10492000000005
16130,ba4610f0-6ba3-4bca-839b-eb9536ca0705,48904049,28/11/1/1/1/0032,Nigeria,NGA,Ondo,Ilaje,0,Ugbo 4,0,Oberebimino Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,5.99787,4.89261,GRID3_EHEALTH,2024-11-11,4.89261000000005,5.99787000000003
16131,ee5469a2-10dd-4079-a3f7-3a15d11a42bb,66274583,28/11/1/1/1/0003,Nigeria,NGA,Ondo,Ilaje,0,Mahin 3,0,Aboto Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,6.30988,4.75203,GRID3_EHEALTH,2024-11-11,4.75203000000005,6.30988000000002
16132,c7370b85-aa30-4c40-9577-3640f8c96e3b,80221480,28/12/1/1/1/0018,Nigeria,NGA,Ondo,Irele,0,Irele 4,0,Ruwahe Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.48759,5.02732,GRID3_EHEALTH,2024-11-11,5.02732000000003,6.48759000000007
16133,bb5f295f-1c1c-48c8-9ef8-148946ca16f1,44893662,28/12/1/1/1/0004,Nigeria,NGA,Ondo,Irele,0,Irele 3,1,Ayadi Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,6.63603,4.89211,GRID3_EHEALTH,2024-11-11,4.89211000000006,6.63603000000006
16134,c23aad0c-137b-41f8-ad45-1d2ac61eb00f,59717486,28/12/1/2/1/0002,Nigeria,NGA,Ondo,Irele,0,Irele 1,1,Irele General Hospital,NHFR_2024,Public,State Government,Secondary,General Hospital,6.49368,4.86198,GRID3_EHEALTH,2024-11-11,4.86198000000007,6.49368000000004
16135,a031e871-c6b5-42ef-8e39-551a788ba06b,78433473,28/13/1/1/1/0026,Nigeria,NGA,Ondo,Odigbo,0,Koseru,0,Koseru Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.67702,4.52584,GRID3_EHEALTH,2024-11-11,4.52584000000007,6.67702000000003
16136,9139783c-ded3-4b73-8cca-877cced424af,39443915,28/14/1/1/1/0005,Nigeria,NGA,Ondo,Okitipupa,0,Erekiti,1,Erekiti Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,6.58008635,4.622417092,NHFR_2024,2024-11-11,4.62241709200003,6.58008635000004
16137,39c83338-b735-4253-8fe8-4bdbb9a23a99,41793329,28/13/1/1/1/0035,Nigeria,NGA,Ondo,Odigbo,0,Ajue,1,Orotedo Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.72363,4.86329,GRID3_EHEALTH,2024-11-11,4.86329000000006,6.72363000000007
16138,53e5b75d-aad9-4f2d-aa21-d6d921c7dd71,82349788,28/13/1/1/1/0025,Nigeria,NGA,Ondo,Odigbo,0,Agbabu,1,Kajola Ojurin Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.74717,4.93909,GRID3_EHEALTH,2024-11-11,4.93909000000002,6.74717000000004
16139,87a0c45f-1396-41b4-a60f-75c247b5eeb4,72593381,28/13/1/1/1/0012,Nigeria,NGA,Ondo,Odigbo,0,Oniparaga,0,Oniparaga Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.72374,4.45499,GRID3_EHEALTH,2024-11-11,4.45499000000007,6.72374000000002
16140,3e189fdc-0bec-48d0-b2b1-c3a4da83b351,50228837,28/13/1/1/1/0014,Nigeria,NGA,Ondo,Odigbo,0,Odigbo,0,Akinfolarin Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.80327,4.9138,GRID3_EHEALTH,2024-11-11,4.91380000000004,6.80327000000005
16141,1f8c8bdf-31fb-4edd-b2e9-8523dd8f92a8,64132833,28/13/1/1/1/0013,Nigeria,NGA,Ondo,Odigbo,0,Odigbo,0,Orita Ojo Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.78929,4.87267,GRID3_EHEALTH,2024-11-11,4.87267000000003,6.78929000000005
16142,b717a96d-df8f-475c-a109-407032e9d731,21190297,28/15/1/1/1/0016,Nigeria,NGA,Ondo,Ondo East,0,Oboto,0,Oboto Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,7.16372,4.93268,GRID3_EHEALTH,2024-11-11,4.93268000000006,7.16372000000007
16143,43bee971-1230-44e4-97d7-eac0830a36c2,56563882,12/12/1/1/2/0036,Nigeria,NGA,Edo,Oredo,0,Ogbe,1,Family Solution Medical Complex,NHFR_2024,Private,Unknown,Primary,Primary Health Center,6.327270508,5.596923828,GRID3_EHEALTH,2024-11-11,5.59692382800006,6.32727050800003
16144,3ea4224c-4bd4-435d-8723-b829826bb94b,84056245,28/16/1/1/1/0018,Nigeria,NGA,Ondo,Ondo West,0,Igunshin,0,Tokunbo Basic Health Clinic,NHFR_2024,Public,Unknown,Primary,Primary Health Center,6.92471,4.79342,GRID3_EHEALTH,2024-11-11,4.79342000000003,6.92471000000006
16145,b1d06514-1196-48e3-854d-3dd2f732be9a,78503289,28/16/1/1/1/0039,Nigeria,NGA,Ondo,Ondo West,0,Surulere,0,Surulere Basic Health Clinic,NHFR_2024,Public,Unknown,Primary,Primary Health Center,7.10006,4.83995,GRID3_EHEALTH,2024-11-11,4.83995000000004,7.10006000000004
16146,984da4b7-dee9-4c79-be3a-b96f4c40d361,51461324,28/16/1/1/1/0020,Nigeria,NGA,Ondo,Ondo West,0,Igbindo,0,Egure Oba Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,7.01967,4.72195,GRID3_EHEALTH,2024-11-11,4.72195000000005,7.01967000000008
16147,60bfc0c7-076d-405f-9c13-80ac17c7ecb6,63824414,28/05/1/2/1/0001,Nigeria,NGA,Ondo,Akoko North West,0,Oke-Irun/Surulere,0,Irun Akoko General Hospital,NHFR_2024,Public,State Government,Secondary,General Hospital,7.57319,5.6795,GRID3_EHEALTH,2024-11-11,5.67950000000008,7.57319000000007
16148,bfbdbef5-75f9-4e22-ba13-279f23c7f210,48165998,28/04/1/1/1/0021,Nigeria,NGA,Ondo,Akoko South West,0,Oba 2,1,Ose Oba Primary Health Clinic,NHFR_2024,Public,Local Government,Primary,Primary Health Clinic,7.31467,5.6708,GRID3_EHEALTH,2024-11-11,5.67080000000004,7.31467000000004
16149,5d0c693d-feb2-48a1-9e15-3367cae1dbe4,34763041,28/06/1/1/1/0019,Nigeria,NGA,Ondo,Akure North,0,Ogbese,0,Ogbese Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,7.26166,5.36796,GRID3_EHEALTH,2024-11-11,5.36796000000004,7.26166000000006
16150,3bf67458-e78b-41d3-a02b-3c3154265055,72501690,28/06/1/1/1/0026,Nigeria,NGA,Ondo,Akure North,0,Osi/Igoba,0,Osi Basic Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,7.30867,5.26736,GRID3_EHEALTH,2024-11-11,5.26736000000005,7.30867000000006
16151,987c21e5-0b22-4855-8ab0-b9ea5f5dfefe,64424138,28/06/1/1/1/0031,Nigeria,NGA,Ondo,Akure North,0,Obaile,1,Oba Ile Comprehensive Health Center,NHFR_2024,Public,Unknown,Primary,Primary Health Center,7.26159,5.26114,GRID3_EHEALTH,2024-11-11,5.26114000000007,7.26159000000007
