OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
36761,d90e4061-58bc-4815-9f07-8cb2800a4b05,,,Nigeria,NGA,Sokoto,Rabah,0,Rabah,0,Lamba Tofa Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,13.14401467,5.457717728,GRID3_EHEALTH,2024-11-11,5.45771772800003,13.14401467
36762,27bbb8e0-b905-4751-892f-3d3e139d593a,,,Nigeria,NGA,Sokoto,Gwadabawa,0,Asara,0,Sakamaru Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,13.4368116,5.2790127,GRID3_EHEALTH,2024-11-11,5.27901270000007,13.4368116000001
36763,536eb69c-b704-4176-be79-0c345b33c570,,,Nigeria,NGA,Sokoto,Wamako,0,Arkilla Gwiwa,0,Salewa Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,13.0271115,5.1920827,GRID3_EHEALTH,2024-11-11,5.19208270000007,13.0271115
36764,e529e534-6b0a-480f-ba64-c3026d02f9c1,,,Nigeria,NGA,Sokoto,Isa,0,Isa South,0,Tudun Wada Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,13.2000981,6.3983699,GRID3_EHEALTH,2024-11-11,6.39836990000003,13.2000981
36765,b0751397-b1a9-4ffa-8384-20294997f688,,,Nigeria,NGA,Ekiti,Ekiti West,0,Aramoko 1,0,Unique Clinic,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,7.70046833333,5.0419,GRID3_EHEALTH,2024-11-11,5.04190000000006,7.70046833300006
36766,b298aedd-32e2-44dc-b5cf-8ba486f912d4,,,Nigeria,NGA,Osun,Olorunda,0,Oba- Oke,0,Blosom Medical Center,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,7.85903415657,4.609806667,GRID3_EHEALTH,2024-11-11,4.60980666700004,7.85903415700005
36767,09b9faf3-86b6-4605-94f9-b9d04bfdba9c,,,Nigeria,NGA,Osun,Egbedore,0,Olorunsogo / Ofatedo / Okini,0,Jrapha Hospital,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,7.80048464564,4.51320621602,GRID3_EHEALTH,2024-11-11,4.51320621600007,7.80048464600003
36768,edd3ce8d-c72a-44f3-9c89-c21b54273a0e,,,Nigeria,NGA,Ogun,Sagamu,0,Gra Sabo,0,Salem Salem Maturity,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,6.826715,3.646238333,GRID3_EHEALTH,2024-11-11,3.64623833300004,6.82671500000004
36769,36d216c5-1172-4d57-a5e6-caab42bdf7db,,,Nigeria,NGA,Ebonyi,Onicha,0,Isi Onicha,0,Client Rediant Maternity Home and Hospital,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,6.12879,7.80228,GRID3_EHEALTH,2024-11-11,7.80228000000005,6.12879000000004
36770,c7bcc1cf-014c-4b02-9770-8869a011efb1,,,Nigeria,NGA,Osun,Boripe,0,Aagba 5,0,Jesus Power Maternity Home,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,7.894619262,4.70040513691,GRID3_EHEALTH,2024-11-11,4.70040513700008,7.89461926200005
36771,1fa854ee-567f-49d5-a3cb-9d9cba241b72,,,Nigeria,NGA,Osun,Ede North,0,Sabo-Agbongbe 2,0,The Muslim Ede Hospital,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,7.74904261597,4.43891921577,GRID3_EHEALTH,2024-11-11,4.43891921600004,7.74904261600005
36772,fa2dad31-f431-4419-9473-771edeeecd4b,,,Nigeria,NGA,Osun,Ife East,0,Modakeke 2,0,Modupe Convalescent Home,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,7.46000735405,4.54322509767,GRID3_EHEALTH,2024-11-11,4.54322509800005,7.46000735400003
36773,4bd9f660-08d8-43b9-abed-f9a8402182c6,,,Nigeria,NGA,Osun,Odo Otin,0,Olunisa,0,Adventist Medical Center,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,7.97322162663,4.65153947054,GRID3_EHEALTH,2024-11-11,4.65153947000005,7.97322162700004
36774,61c84c56-c955-446a-95e9-ebf438f61ae3,,,Nigeria,NGA,Lagos,Mushin,0,Ilupeju Industrial,0,Ufoma Specialist Hospital,GRID3_EHEALTH,Public,Unknown,Tertiary,General Hospital,6.55068,3.36036,GRID3_EHEALTH,2024-11-11,3.36036000000007,6.55068000000006
36775,cde42fe8-4f74-495d-8b93-7fd0cf4f5aa1,,,Nigeria,NGA,Abia,Isiala-Ngwa South,0,Omoba,0,Isaac Okwuonu Memorial Hospital,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,5.24381,7.38674,GRID3_EHEALTH,2024-11-11,7.38674000000003,5.24381000000005
36776,1c41fb99-5ed0-4751-9f69-9b1afeda2b0f,,,Nigeria,NGA,Abia,Ikwuano,0,Ariam 1,0,Ariam Primary Health Center,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Center,5.34535255392,7.61872586967,GRID3_EHEALTH,2024-11-11,7.61872587000005,5.34535255400004
36777,98a62669-2377-4b16-93ae-2f7ed830b398,,,Nigeria,NGA,Abia,Isiala-Ngwa South,0,Mbutu Ngwa,0,Mbutu Ukwu Health Center,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Center,5.30500295932,7.32223960679,GRID3_EHEALTH,2024-11-11,7.32223960700003,5.30500295900003
36778,695be3e1-ec62-46b9-ab2f-269de3993174,,,Nigeria,NGA,Abia,Aba North,0,Eziama,0,Bethesda Hospital,GRID3_EHEALTH,Unknown,Unknown,Primary,Unknown,5.1271722691,7.36231422214,GRID3_EHEALTH,2024-11-11,7.36231422200007,5.12717226900003
36779,f5b8943e-dc26-43ff-8c09-33a398ede07f,,,Nigeria,NGA,Anambra,Nnewi North,0,Nnewi Ichi Ward 2,0,Summit Specialist Hospital and Maternity,GRID3_EHEALTH,Public,Unknown,Tertiary,Primary Health Clinic,6.0262,6.91625,GRID3_EHEALTH,2024-11-11,6.91625000000005,6.02620000000007
36780,eacadee4-b33e-4071-8579-09236cfca56a,,,Nigeria,NGA,Anambra,Njikoka,0,Enugwu Ukwu 2,0,Beke Hospital,GRID3_EHEALTH,Public,Unknown,Primary,Unknown,6.16954,6.99568,GRID3_EHEALTH,2024-11-11,6.99568000000005,6.16954000000004
36781,aa84710b-7ae0-4cb3-88a7-0d6227f7e3db,,,Nigeria,NGA,Anambra,Awka South,0,Nibo 3,0,Graceland Hospital and Maternity,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,6.17144,7.07774,GRID3_EHEALTH,2024-11-11,7.07774000000006,6.17144000000008
36782,7eb50f81-3948-4fc4-a80a-c67af4226388,,,Nigeria,NGA,Anambra,Idemili North,0,Uke,0,Victory Hospital and Maternity,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,6.09969,6.91436,GRID3_EHEALTH,2024-11-11,6.91436000000004,6.09969000000007
36783,f122bdeb-14a8-4d71-b4f3-c69190c0389e,,,Nigeria,NGA,Anambra,Ihiala,0,Eziama / Ihite Ward 1 Uli,0,The Redeemed Christian Church Clinic,GRID3_EHEALTH,Public,Unknown,Primary,Unknown,5.84536,6.883,GRID3_EHEALTH,2024-11-11,6.88300000000004,5.84536000000003
