id,name,alternate_name,category,lga,ward_code,lon,lat
9c6bddb9-656c-4cdf-9f82-272fdd76ad84,Oghede Primary Health Center,Basic Maternity Care,Primary Health Center,Egor,EDSUSL01,5.545471191000047,6.294128418000071
54d9e780-424f-4f5c-aac9-26dcefbcdb51,Imiakebu Primary Health Center,,Primary Health Center,Etsako East,EDSAGD04,6.443908691000047,7.229492187000062
48b7b73d-53e2-4b03-8048-1bd740225072,Oredo,,Primary Health Center,Oredo,EDSBEN07,5.627155975997771,6.3170167862305515
93df06f8-b939-40d2-808d-968e4198ce63,Ekehuan Primary Health Center,Ekenwan Primary Health Center,Primary Health Center,Ovia North-East,EDSAKA03,5.37408447200005,6.188476562000062
5372a496-7783-4fa5-83a2-d51c49e226aa,Ogbeide Medical Center,,Medical Center,Egor,EDSUSL07,5.609680175000051,6.3720703130000516
bd2c22bb-2d30-49fb-b127-7571cf3bf319,Urhonigbe Primary Health Center,Urhorugbe Primary Health Center,Primary Health Center,Orhionmwon,EDSABD01,6.177811232434388,5.983625686479807
f96302d6-03af-485b-9326-1d959c9b0783,Evbozigbo Primary Health Center,Evbuozegbe Primary Health Center,Primary Health Center,Uhunmwonde,EDSEHR05,5.959516198140283,6.337346851672245
c96b826c-c236-4227-8f05-a43422eae818,Ihumudumu Primary Health Center,,Primary Health Center,Esan West,EDSEKP06,6.136840987888983,6.738216079258363
e4eeb8ad-7571-499b-a0d0-b588da1869ad,Ogwa Primary Health Center,,Primary Health Center,Esan West,EDSEKP06,6.149595420510014,6.737121720759755
ddfee6b2-50c9-4251-86e8-a6be43c1f867,Ugieghudu Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR10,5.861412520046504,6.524625520487329
0cc5c9f2-95f7-4a37-9cce-07180bf44b6c,Ehor Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR03,5.707320734175336,6.3849369303546055
694400bf-2cbf-4bd7-8faa-45f727c4c1c4,Ehor Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR07,5.738724076077786,6.388913189347082
7ea7d1b1-0b9f-44c1-90be-c3e848b397a7,Evbuarhue Health Center,,Primary Health Center,Uhunmwonde,EDSEHR07,5.75225056800589,6.323873714298474
ecedaa60-f27e-48b6-a902-2478fbd12489,Ark of Grace Nursing and Maternity Home,,Maternity Home,Uhunmwonde,EDSEHR03,5.681701660000044,6.397521973000039
2d6ebd54-7744-4a05-a6d7-e9169297477a,Fidnuel Nursing and Maternity Home,,Maternity Home,Uhunmwonde,EDSEHR03,5.698303223000039,6.380676270000038
aaa82968-fef1-4116-8904-665aea32b386,Ogo Quarters Maternity,,Maternity Home,Orhionmwon,EDSABD01,6.175720215000069,5.986694336000028
ce9c650d-ccc3-44c9-929b-9b7608a3bda3,Ugiamwen Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR06,6.085896216928788,6.679940020018346
4d621513-999a-4742-a73e-979f4f509ef0,Uhunmwonde Health Center,,Primary Health Center,Uhunmwonde,EDSEHR08,5.8787300000000755,6.302190000000053
6e738d71-7435-47fa-9446-0b02a7d5d3b1,Evabou Kabua Primary Health Center,,Primary Health Center,Orhionmwon,EDSABD10,6.079436939721902,6.117416741831542
29829e30-cd51-4fc0-87a8-cd8b9044f0f1,Oza Primary Health Center,,Primary Health Center,Orhionmwon,EDSABD06,6.056399469951801,6.342843368822393
6a98aa00-848e-4c31-83e4-08df0e0fc4a6,Uvbenisi Health Clinic,,Primary Health Center,Uhunmwonde,EDSEHR01,6.046931302696977,6.3894654946467195
49bf6e73-b2cd-4f20-b9f2-e5c80f048708,Ugbiyokho Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR06,6.087381708126474,6.650103837828265
e8c6b648-cf67-4755-b337-99d7deee5fce,Orhionmwon Health Center,,Primary Health Center,Orhionmwon,EDSABD06,6.057286743671475,6.284299642263553
d5ab41fe-a94c-4493-b66f-3b8abf58ef84,Igueuwangue Primary Health Center,Iguwangue Primary Health Center,Primary Health Center,Uhunmwonde,EDSEHR07,5.828674316000047,6.390686035000044
3dc90f7b-904f-47bc-8002-29e3d7ceb756,Orior Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR03,5.675476075000063,6.411315918000071
51e8654e-d8e4-4456-8c95-25b1ed491213,Umoghun Nokhua Primary Health Center,,Primary Health Center,Orhionmwon,EDSABD05,5.966674805000025,5.947326660000044
6842c9fb-7f65-411c-9cb6-346b4947a570,Par Excellence Medical Center,Primary Health Center Ehor,Medical Center,Uhunmwonde,EDSEHR06,5.982482911000034,6.613708496000072
ce29222b-b841-4103-bfb7-63910273a2f2,Aduhanhan Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR08,5.796081543000071,6.322082519000048
27cf9101-faf3-4bce-b408-6cdd12aeca1a,Enofe Medical Center,,Medical Center,Uhunmwonde,EDSEHR03,5.715515137000068,6.382507325000063
ee3b0fae-38fe-4965-a1e1-c15dbd5f8538,Iguehana Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR05,5.907287598000039,6.326721192000036
241f14fa-5fe1-4522-82e6-f3f6a62fc0ab,Urhomehe Model Health Center,,Primary Health Center,Orhionmwon,EDSABD08,6.142517090000069,6.048522950000063
3234ab4b-63a9-4fc3-a33e-89e0b9209f9e,Ogo Quarters Dispensary,,Dispensary,Orhionmwon,EDSABD08,6.178527832000043,5.986877441000047
1514a109-2d47-45c8-9199-93a852145bc7,Urehue Primary Healthcare,,Primary Health Center,Orhionmwon,EDSABD05,5.998474121000072,5.969909668000071
2153560b-e598-40ed-8311-978ce3945bd1,Uvbe Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR08,5.952087402000075,6.291687012000068
6f54fb26-adf2-48e9-a12b-085c6f9af08a,Zion Heritage Hospital,,Primary Health Center,Esan West,EDSEKP01,6.222473145000038,6.4982910150000635
c9c754a0-c6dd-45f7-95ea-df1bb9cd34a6,Okhuaihe Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR08,5.769104004000042,6.322509766000053
bf7224c5-3637-429d-838c-4395d0e4cabb,Irru Primary Health Center,,Primary Health Center,Orhionmwon,EDSABD06,6.031311035000044,6.323913574000073
1e16e70c-7b41-41a3-8408-f19186e9adf7,Idoa Primary Health Center,Ukhun Primary Health Center,Primary Health Center,Esan West,EDSEKP09,6.217712403000064,6.812500000000057
704fd48c-bdb1-4b75-b0b8-a9d6eb856cc6,Eromosele Medical Center,,Medical Center,Esan West,EDSEKP10,6.1303100580000205,6.741882325000063
dd169ead-21db-48f2-b9fe-c63a5a06f399,Private Dental Clinic,,Primary Health Center,Esan West,EDSEKP06,6.142089843000065,6.743286133000026
240260a4-8919-4f65-8352-ecbba2a77112,Orhua Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR04,5.98413086000005,6.771301269000048
403b65b2-4a34-430c-8899-c97a47a09e18,Oriaifo Memorial Clinic,,Primary Health Center,Esan West,EDSEKP06,6.149108886000022,6.746093750000057
9d587827-548e-4ff9-b4b1-8b7665537d3f,Iruekpen General Hospital,General Hospital Iruekpen,General Hospital,Esan West,EDSEKP05,6.062072754000042,6.759887695000032
d4f5f4eb-e15a-46aa-bcf8-f35ecf66a055,Izikhiri Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR09,5.9970703130000516,6.389099121000072
50075a5c-9a3f-4a36-a975-3475d3ef7c4c,Ebueneki Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR05,5.896118164000029,6.362121582000043
18ed72bf-b4c4-4572-b977-315d357fc2f1,Ugomoson Primary Health Center,,Primary Health Center,Uhunmwonde,EDSEHR08,5.916304054023032,6.295018420691486
4071d358-486b-4e15-822a-80c32b866e3d,Okhokhugbo Primary Health Center,,Primary Health Center,Egor,EDSUSL04,5.565625120308199,6.350791335300733
8f83e09a-77da-4ef5-85c6-f6c6ff1a4871,Shalom Clinic and Maternity,,Maternity Home,Egor,EDSUSL04,5.577514648000033,6.355285645000038
5d3a15dd-f7d1-4c6c-8fb3-498419687b15,Fremmase Nursing and Maternity Center,,Maternity Home,Egor,EDSUSL04,5.57312011700003,6.360717773000033
e6b74696-a706-4723-8d64-eb98acbc2b3f,Emabu Model Primary Health Center,,Primary Health Center,Owan East,EDSAFZ11,6.132324219000054,7.044311523000033
5cd059b8-2276-423d-ab34-e2e4f64d5583,Menax Clinic and Maternity Center,Ugo Menax Clinic,Maternity Home,Orhionmwon,EDSABD12,5.998718262000068,6.0872802740000225
043ed6cf-9ae4-402f-9ce3-5cf6a639e0dc,Abudi Health Center,,Primary Health Center,Orhionmwon,EDSABD12,6.006630814602766,6.093644055948274
555fe7e5-10d2-492f-9ba7-b605720d2d12,Idumwenke Primary Health Center,,Primary Health Center,Orhionmwon,EDSABD12,5.979309082000043,6.168884278000064
64a097bd-98ff-48ef-b214-cf3f1964a1fb,Evbonogbon Primary Health Center,,Primary Health Center,Orhionmwon,EDSABD10,6.083129883000026,6.046691895000038
ea4e1b43-776d-4e6c-ac79-98934ce72503,Iguododo Primary Health Center,1 Guododo,Primary Health Center,Orhionmwon,EDSABD12,6.001892090000069,6.221679687000062
4710032d-953d-4f28-b4d2-6fe32e3cb2c7,South Ibie Maternity,,Maternity Home,Etsako West,EDSAUC05,6.235248379987904,7.070362592216657
40eddcc1-8f25-42d0-a732-e3dfe0fd294d,Gods Victor Hospital,,Primary Health Center,Egor,EDSUSL09,5.597690000000057,6.357140000000072
f33cf667-56ba-48c9-83d2-5308e507295d,St Marys Hospital,,Primary Health Center,Egor,EDSUSL07,5.6099700000000325,6.359260000000063
7936c028-56d5-4c19-b1b8-c7a5e9ebdfd7,Gods Glory Maternity,,Maternity Home,Iguegben,EDSGUE09,6.246500000000026,6.59791000000007
e4d06a71-7a36-4dc9-b832-991245e4e5b4,St Lukes Clinic and Maternity,,Maternity Home,Esan West,EDSEKP10,6.127920000000074,6.744410000000073
35a8ec4e-eff7-4870-bbc4-e180b6dcdb04,Agirie Primary Health Center,,District Hospital,Etsako East,EDSAGD10,6.5688810682213905,7.05435589857162
4c08bf38-6bd5-4a95-8ca3-f97a89cad6f5,Uniben Teaching Hospital,,Teaching Hospital,Etsako Central,EDSFUG05,6.45324831129012,7.117397801689124
154a1029-bae9-4147-b3e3-4c8a6cb4d194,Ubierumuoke Primary Health Center,,Primary Health Center,Esan North-East,EDSURM07,6.288219295320759,6.675184840660461
10826828-7736-4d1d-b2d8-2f6a3604acf4,Afuze Primary Health Care,,Primary Health Center,Owan West,EDSSGD04,5.9395540542324285,6.973069986937624
18e62eee-b41e-40b0-a6a8-b1815574997f,Christabel Maternity Home,,Maternity Home,Owan West,EDSSGD04,5.936980000000062,6.918520000000058
d61a11c5-cb1a-4cbe-8c0e-9d60b4fb928e,Agbede General Hospital,General Hospital Agbede,General Hospital,Etsako West,EDSAUC10,6.266704992981836,6.871690179851467
92a6865d-2b3d-453e-888e-50b172839dee,Ekiedolor Hospital,,District Hospital,Ovia North-East,EDSAKA11,5.584132971090535,6.493223494757956
7bf8d2fc-e5ef-4280-ac8a-878a871c488f,Ugbogui Primary Health Center,,Primary Health Center,Ovia South-West,EDSGBZ02,5.245545413156789,6.690136398992925
83f9130b-cea5-4665-9af5-cedbe6ab7f97,Udo Primary Health Center,,Primary Health Center,Ovia South-West,EDSGBZ06,5.369748632064742,6.481005906750519
f818c351-687f-4e6a-88f6-1b77f946b173,Warrake Primary Health Care,,Primary Health Center,Owan East,EDSAFZ03,6.185529678688527,6.991402735601611
767bb534-e92f-4827-acae-86848b93c374,Iguobazuwa General Hospital,,General Hospital,Ovia South-West,EDSGBZ04,5.3524680996504825,6.568873556975021
2a71c26e-cbd1-4ef2-8a24-c9404a7c92ca,Ibillo General Hospital,,General Hospital,Akoko-Edo,EDSGAR06,6.071130446316441,7.441299771912982
1ac6f34f-27a0-4b98-87fb-0944d2c5cafe,Ewossa Primary Health Care,,Primary Health Center,Iguegben,EDSGUE01,6.273297450141083,6.465344595327091
cb0fe56c-854b-448d-af59-4e27573bf880,Ebele Primary Health Care,,Primary Health Center,Iguegben,EDSGUE02,6.223650459416224,6.488659122193252
83c54b3c-00f7-4eb3-98cc-49fcfcc06091,Okhuesan Primary Health Care,,Primary Health Center,Esan South-East,EDSUBJ05,6.403486906150048,6.613718837456843
8a8d3b6d-5ccf-44de-be20-76b10a502f7f,Emu Maternity,,Maternity Home,Esan South-East,EDSUBJ05,6.465843778124409,6.559724842871222
20602989-14d1-4542-97b4-8a7ab328f931,Oria Primary Health Care,,Primary Health Center,Esan South-East,EDSUBJ03,6.520341077288321,6.686043083998736
e438e0fc-7e41-4d74-9dc7-0e1175c9d9cb,Okpujie Fsp Cottage Hospital,,Cottage Hospital,Owan West,EDSSGD10,5.892663301281296,7.037127523976956
4ca0e788-1a65-4451-97e3-111e85d9fe0f,Ofunmwengbe Primary Health Center,,Primary Health Center,Ovia South-West,EDSGBZ02,5.334670000000074,6.63969000000003
5d3ee217-c698-460a-ae6a-b1c67de7f481,Erah Ekeke Primary Health Center,,Primary Health Center,Owan East,EDSAFZ02,6.117510000000038,6.838000000000022
9f5905e1-362b-4931-8b9c-64dc42023b73,Aniso Specialist Hospital,,Specialist Hospital,Egor,EDSUSL10,5.621440000000064,6.3786700000000565
df3e8d09-330a-4f36-85d0-9eb97a0f6a52,Osunde Specialist Hospital,,Specialist Hospital,Egor,EDSUSL02,5.633000000000038,6.356520000000046
0f159374-1a65-4110-8689-c172759cb276,St Maternityhais Anglican Hospital,,Maternity Home,Oredo,EDSBEN10,5.629440000000045,6.323690000000056
ff829fe4-16cf-455e-9240-97ac4e74e9d7,Christ Cottage Clinic and Maternity,,Maternity Home,Egor,EDSUSL01,5.580530000000067,6.326940000000036
bc3d6933-7915-48c5-869a-1c1e388386a2,St Tude Specialist Hospital,,Specialist Hospital,Etsako East,EDSAGD08,6.5818400000000565,7.0871400000000335
a5be743a-5b57-4be4-b4a0-52c19a409ad5,Divine Faith Nursing and Maternity Ho,Divine Faith Nursingand Maternity Home,Maternity Home,Egor,EDSUSL09,5.586890000000039,6.356270000000052
4687d544-cebd-4457-bc72-e21c9a7ab70b,Nosuyi Maternity,Nosuyi Clinic And Maternity,Maternity Home,Egor,EDSUSL06,5.5996900000000664,6.369860000000074
9c6dec9e-c16f-4491-81d2-3843222a26c6,Uwa Clinic and Maternity,Oka1 Uwa Clinicand Maternity,Maternity Home,Ikpoba-Okha,EDSDGE10,5.6708000000000425,6.288550000000043
a94374fc-6e70-42ca-b9ab-a1eb86d6a6bb,Raphiah Nursing and Maternity,Rephahiah Nursing And Maternity Home,Maternity Home,Ikpoba-Okha,EDSDGE03,5.645440000000065,6.30758000000003
