osm_id,osm_name,osm_type,hfr_id,hfr_name,hfr_type,hfr_lga,probability,decision,factor_name,factor_geo,distance_km,type_agree,explanation
node/2155787295,Ladith centre pharmacy,PHARMACY,e2d79569-7610-429c-bf48-8cdd0b88453f,Edi Inetrnational Limited,PHC,Oredo,0.8158,review,0.6231,0.8231,0.292,False,name 62%; 0.3 km apart; type differs
node/2153205858,Flowell Pharmacy,PHARMACY,9a5e800d-602e-4ee1-a518-8502442cb95c,Irowa Medical Center,CLINIC,Oredo,0.8123,review,0.5619,0.9593,0.062,False,name 56%; 0.1 km apart; type differs
node/2072662184,Medicine Store,PHARMACY,715dc1b4-223f-4efc-a2e3-3dd1f38947b3,Redeem Nursing and Meternity,PHC,Egor,0.807,review,0.605,0.8419,0.258,False,name 60%; 0.3 km apart; type differs
way/84257882,Shepherd's Lab,HOSPITAL,77041830-a88b-4596-bfb9-d22778062db4,Ekpen Hospital,HOSPITAL,Oredo,0.8059,review,0.6048,0.8394,0.263,True,name 60%; 0.3 km apart; type match
way/803314853,Lily Hospitals Limited,HOSPITAL,767b4044-63fc-48e9-aa71-a898b747dbfe,Ropheka Specialist Clinic and Maternity,MATERNITY,Egor,0.8055,review,0.6687,0.6857,0.566,False,name 67%; 0.6 km apart; type differs
way/84396919,ALF Pharmacy and Stores,PHARMACY,5b771110-2676-4311-b202-b2b15a7eddb3,Ikpema Health Certer,PHC,Oredo,0.8035,review,0.5738,0.9068,0.147,False,name 57%; 0.1 km apart; type differs
node/2344554585,Jofeg health and life pharmacy,PHARMACY,e2d79569-7610-429c-bf48-8cdd0b88453f,Edi Inetrnational Limited,PHC,Oredo,0.8018,review,0.6105,0.8148,0.307,False,name 61%; 0.3 km apart; type differs
node/2344596615,Service Pharmacetical,PHARMACY,b3e18a0b-f13e-45da-9158-bc0b11c03473,Safe Heaven Medical Center,CLINIC,Oredo,0.7981,review,0.6378,0.7397,0.452,False,name 64%; 0.5 km apart; type differs
node/1995055581,Royal Okhia Pharmacy,PHARMACY,ae515d32-c1d6-405d-b798-601dc8195bdf,Mega Clinic and Maternity,MATERNITY,Egor,0.7896,review,0.5293,0.9768,0.035,False,name 53%; 0.0 km apart; type differs
node/2160629703,Assurance Medical Lab,,da7a466d-bc66-4b1a-9841-87449996fb59,Medical Clinic and Maternity,MATERNITY,Oredo,0.7846,review,0.6154,0.7584,0.415,False,name 62%; 0.4 km apart
