id,name,amenity,healthcare,lga,lat,lon
way/291759009,Gurduba Health Post,hospital,hospital,Ajingi,12.0218497,9.001387
way/291759011,Kiroro Health Post,hospital,hospital,Ajingi,11.9616275,9.1181621
way/291759012,Kara-Makama Health Post,hospital,hospital,Ajingi,11.9569697,9.0741404
way/291759013,Kunkurawa Health Post,hospital,hospital,Ajingi,11.9748263,9.0638241
way/291759014,Sakalawa Health Post,hospital,hospital,Ajingi,11.9828764,9.0103441
way/291759369,Gafasa Health Post,hospital,hospital,Ajingi,11.9846426,9.1330295
way/291759370,Jiyayya Health Post,hospital,hospital,Ajingi,11.9814017,9.0943566
way/291759371,Dundun Health Post,hospital,hospital,Ajingi,11.9327521,9.0345936
way/291759766,Zuwan Hawa Health Post,hospital,hospital,Albasu,11.7294625,9.2235508
way/291761155,Goron Dutse Health Post,hospital,hospital,Shanono,12.1581474,7.8724502
way/291761156,Yankwada Health Post,hospital,hospital,Shanono,12.2033687,7.8763869
way/291761157,Danshado Health Post,hospital,hospital,Shanono,12.043244,7.8893704
way/291761158,Bakaji Health Post,hospital,hospital,Shanono,12.1253851,7.8753553
way/291761159,Tsaure Primary Health Centre,hospital,hospital,Shanono,12.094542,7.8799834
way/291837472,Gagarawa Health Post,hospital,hospital,Ajingi,12.0502071,9.0034006
way/291841839,Unguwar Bai Health Post,hospital,hospital,Ajingi,12.046742,8.9807329
way/291869889,Yankamaye Health Post,hospital,hospital,Tsanyawa,12.3144498,7.8971553
way/291870148,Yaan'Awaki Health Post,hospital,hospital,Tsanyawa,12.3660108,8.0179611
way/291871749,Dorayi Health Post,hospital,hospital,Tsanyawa,12.3711131,8.0768555
way/291871751,Kabagiwa Health Post,hospital,hospital,Tsanyawa,12.3109522,8.022435
way/291871752,Nasarawa Health Post,hospital,hospital,Tsanyawa,12.3695751,7.9918248
way/291871760,Yankamaye Primary Health Centre,hospital,hospital,Tsanyawa,12.3284193,7.9285854
way/291871761,Daddarawa Health Post,hospital,hospital,Tsanyawa,12.2365147,8.0746148
way/291871764,Tafashiya Primary Health Centre,hospital,hospital,Tsanyawa,12.2126951,8.0779713
way/291876678,Bankamawa Health Post,hospital,hospital,Shanono,12.1265487,7.9362758
way/291876681,Yakanawa Primary Health Centre,hospital,hospital,Tsanyawa,12.1939826,7.9840785
way/291876682,Masaurari Health Post,hospital,hospital,Bagwai,12.1243262,8.0775336
way/291876683,Kundila Health Post,hospital,hospital,Shanono,12.1297302,7.9848378
way/291876684,Alajawa Health Post,hospital,hospital,Bagwai,12.1023813,7.9940372
way/291876685,Tudara Health Post,hospital,hospital,Bagwai,12.1052768,8.0653634
way/291876686,Alajawa Health Post,hospital,,Shanono,12.1147443,7.966011
way/291876687,Kuraku Health Post,hospital,hospital,Shanono,12.1703985,7.9173397
way/291876690,Jigilawa Health Post,hospital,hospital,Tsanyawa,12.1941394,8.0637709
way/291876692,Godarawa Health Post,hospital,hospital,Shanono,12.0516398,8.0761203
way/291876695,Dumbulum Primary Health Centre,hospital,hospital,Tsanyawa,12.1920262,8.0161893
way/291876696,Gadanya Health Post,hospital,hospital,Bagwai,12.0904421,8.0388223
way/291877984,Yan'Amar Health Post,hospital,hospital,Tsanyawa,12.4127254,8.0801065
way/291877985,Harbau Primary Health Centre,hospital,hospital,Tsanyawa,12.38282,8.0622515
way/291879247,Shuwaki Primary Health Centre,hospital,hospital,Kunchi,12.4245684,8.1732087
way/291879248,Dunbule Health Post,hospital,hospital,Kunchi,12.5056836,8.2453599
way/291879249,Bumai Health Post,hospital,hospital,Kunchi,12.5134238,8.1915353
way/291879250,Danjaka Health Post,hospital,hospital,Kunchi,12.4076191,8.2223426
way/291879251,Galadimawa Health Post,hospital,hospital,Kunchi,12.4894431,8.2209066
way/291879253,Hugungumai Health Post,hospital,hospital,Kunchi,12.435884,8.2223757
way/291879254,Malikawa Garu Health Post,hospital,hospital,Bichi,12.3979359,8.1536273
way/291879255,Karofawa Health Post,hospital,hospital,Kunchi,12.486163,8.2381699
way/291879257,Gadaba Health Post,hospital,hospital,Kunchi,12.5299475,8.226354
way/291879258,Yandadi Primary Health Centre,hospital,hospital,Kunchi,12.4530077,8.2351963
way/291879259,Unguwar Gyartai Health Post,hospital,hospital,Kunchi,12.4406959,8.1673678
way/291880247,Kunchi Primary Health Centre,hospital,hospital,Kunchi,12.502156,8.2747498
way/291880248,Shamakawa Primary Health Centre,hospital,hospital,Kunchi,12.4331417,8.3096558
way/291880993,Yankifi Health Post,hospital,hospital,Kunchi,12.4733719,8.269216
way/291880994,Tabani Health Post,hospital,hospital,Kunchi,12.4137538,8.3298735
way/291880999,Magawata Health Post,hospital,hospital,Kunchi,12.4232672,8.2766791
