name_display,name_nfc,name_ascii_key,name_type,countries,languages,sources,source_ids,total_evidence_count,occurrence_count,last_seen_at
Aaron,Aaron,aaron,family,NG,en,wikidata,Q301610,2,2,2026-04-11T03:53:58.817238+00:00
Aba-Afari,Aba-Afari,abaafari,family,GH,en,wikidata,Q133860864,1,1,2026-04-11T03:55:04.900162+00:00
Ababio,Ababio,ababio,family,GH,en,wikidata,Q37469817,3,1,2026-04-11T03:55:04.900162+00:00
Abacha,Abacha,abacha,family,NG,en,wikidata,Q21497697,1,1,2026-04-11T03:53:58.817238+00:00
Abah,Abah,abah,family,GH|NG,en,wikidata,Q71842375,2,2,2026-04-11T03:55:04.900162+00:00
Abakah,Abakah,abakah,family,GH,en,wikidata,Q119556768,1,1,2026-04-11T03:55:04.900162+00:00
Abalo,Abalo,abalo,family,NG,en,wikidata,Q29518390,3,1,2026-04-11T03:53:58.817238+00:00
Abambila,Abambila,abambila,family,GH,en,wikidata,Q117428900,1,1,2026-04-11T03:55:04.900162+00:00
Abang,Abang,abang,family,NG,en,wikidata,Q37546139,3,1,2026-04-11T03:53:58.817238+00:00
Abani,Abani,abani,family,NE|NG,en,wikidata,Q16001344,6,2,2026-04-11T03:59:54.371781+00:00
Abas,Abas,abas,family,NG,en,wikidata,Q83338285,1,1,2026-04-11T03:53:58.817238+00:00
Abasiattai,Abasiattai,abasiattai,family,NG,en,wikidata,Q136405245,2,1,2026-04-11T03:53:58.817238+00:00
Abas (nom de famille),Abas (nom de famille),abasnomdefamille,family,NG,fr,wikidata,Q83338285,1,1,2026-04-11T03:53:58.817238+00:00
Abass,Abass,abass,family,GH|KE|NG,en,wikidata,Q4663552,3,3,2026-04-11T04:01:06.680289+00:00
Abatan,Abatan,abatan,family,NG,en,wikidata,Q116368671,1,1,2026-04-11T03:53:58.817238+00:00
Abate,Abate,abate,family,ET,en,wikidata,Q3603136,1,1,2026-04-11T04:03:51.884736+00:00
Abati,Abati,abati,family,NG,en,wikidata,Q21488069,3,1,2026-04-11T03:53:58.817238+00:00
Abay,Abay,abay,family,ET,en,wikidata,Q4663596,3,1,2026-04-11T04:03:51.884736+00:00
Abayomi,Abayomi,abayomi,family,NG,en,wikidata,Q37470542,3,1,2026-04-11T03:53:58.817238+00:00
Abba,Abba,abba,family,NE|NG,en,wikidata,Q123615501|Q13626005,7,3,2026-04-11T03:59:54.371781+00:00
Abban,Abban,abban,family,GH,en,wikidata,Q37477117,3,1,2026-04-11T03:55:04.900162+00:00
Abbas,Abbas,abbas,family,KE|NG,en,wikidata,Q1158601|Q26772911,7,3,2026-04-11T04:01:06.680289+00:00
Abbasi,Abbasi,abbasi,family,NG,en,wikidata,Q28714072,3,1,2026-04-11T03:53:58.817238+00:00
Abbey,Abbey,abbey,family,GH|NG,en,wikidata,Q4663971,2,2,2026-04-11T03:55:04.900162+00:00
Abdalla,Abdalla,abdalla,family,ER|KE|SO,en,wikidata,Q37011807,9,3,2026-04-11T04:06:05.956447+00:00
Abdallah,Abdallah,abdallah,family,ET|GH|NG|TZ,en,wikidata,Q30090684,12,4,2026-04-11T04:03:51.884736+00:00
Abd al-Qadir,Abd al-Qadir,abdalqadir,family,GH,en,wikidata,Q317520,2,2,2026-04-11T03:55:04.900162+00:00
Abd al-Rahman,Abd al-Rahman,abdalrahman,family,NG,en|fr,wikidata,Q307378,5,3,2026-04-11T03:53:58.817238+00:00
Abd ar-Rahman,Abd ar-Rahman,abdarrahman,family,NG,fr|pt,wikidata,Q307378,4,3,2026-04-11T03:53:58.817238+00:00
Abdarramão,Abdarramão,abdarramao,family,NG,pt,wikidata,Q307378,1,1,2026-04-11T03:53:58.817238+00:00
Abdelgadir,Abdelgadir,abdelgadir,family,GH,en,wikidata,Q317520,1,1,2026-04-11T03:55:04.900162+00:00
Abdelkader,Abdelkader,abdelkader,family,GH,en,wikidata,Q317520,1,1,2026-04-11T03:55:04.900162+00:00
Abdel Rahman,Abdel Rahman,abdelrahman,family,NG,fr|pt,wikidata,Q307378,4,4,2026-04-11T03:53:58.817238+00:00
Abderame,Abderame,abderame,family,NG,fr,wikidata,Q307378,2,2,2026-04-11T03:53:58.817238+00:00
Abderrahman,Abderrahman,abderrahman,family,NG,fr|pt,wikidata,Q307378,3,3,2026-04-11T03:53:58.817238+00:00
Abdi,Abdi,abdi,family,KE|SO,en,wikidata,Q27183271,6,2,2026-04-11T04:05:06.670758+00:00
Abdillahi,Abdillahi,abdillahi,family,SO,en,wikidata,Q37226896,3,1,2026-04-11T04:05:06.670758+00:00
Abdo,Abdo,abdo,family,NE,en,wikidata,Q37232520,2,1,2026-04-11T03:59:54.371781+00:00
Abdou,Abdou,abdou,family,NE,en,wikidata,Q36934083,3,1,2026-04-11T03:59:54.371781+00:00
Abdoulaye,Abdoulaye,abdoulaye,family,NE,en,wikidata,Q37537112,3,1,2026-04-11T03:59:54.371781+00:00
Abdourahamane,Abdourahamane,abdourahamane,family,NG,en,wikidata,Q307378,5,3,2026-04-11T03:53:58.817238+00:00
Abdou-Saleye,Abdou-Saleye,abdousaleye,family,NE,en,wikidata,Q100138569,3,1,2026-04-11T03:59:54.371781+00:00
Abdramane,Abdramane,abdramane,family,NE,en,wikidata,Q121000068,3,1,2026-04-11T03:59:54.371781+00:00
Abdü,Abdü,abdu,family,NG,en,wikidata,Q46994949|Q96593666,9,2,2026-04-11T03:53:58.817238+00:00
Abdul,Abdul,abdul,family,UG,en,wikidata,Q37460168,3,1,2026-04-11T04:02:16.934249+00:00
Abdulahi,Abdulahi,abdulahi,family,ET,en,wikidata,Q37225182,3,1,2026-04-11T04:03:51.884736+00:00
Abdulai,Abdulai,abdulai,family,GH,en,wikidata,Q37523645,3,1,2026-04-11T03:55:04.900162+00:00
Abdulaziz,Abdulaziz,abdulaziz,family,ER|TZ,en,wikidata,Q30093625,6,2,2026-04-11T04:06:05.956447+00:00
Abdulganiyu Salami,Abdulganiyu Salami,abdulganiyusalami,family,NG,en,wikidata,Q118523699,1,1,2026-04-11T03:53:58.817238+00:00
Abdulhameed,Abdulhameed,abdulhameed,family,NG,en,wikidata,Q37551355,6,1,2026-04-11T03:53:58.817238+00:00
Abdulhamid,Abdulhamid,abdulhamid,family,NG,en,wikidata,Q115287622|Q37126868,4,2,2026-04-11T03:53:58.817238+00:00
Abdulkader,Abdulkader,abdulkader,family,GH,en,wikidata,Q317520,1,1,2026-04-11T03:55:04.900162+00:00
Abdulkadir,Abdulkadir,abdulkadir,family,GH|KE|NG|SO,am|en,wikidata,Q20155853|Q317520|Q37497559,11,8,2026-04-11T04:05:06.670758+00:00
Abdulkadir Rasheed,Abdulkadir Rasheed,abdulkadirrasheed,family,KE|NG|SO,en,wikidata,Q37497559,3,3,2026-04-11T04:05:06.670758+00:00
Abdulkareem,Abdulkareem,abdulkareem,family,NG,en,wikidata,Q37005001,3,1,2026-04-11T03:53:58.817238+00:00
Abdulla,Abdulla,abdulla,family,SO,en,wikidata,Q33123391,3,1,2026-04-11T04:05:06.670758+00:00
Abdullah,Abdullah,abdullah,family,NG,en,wikidata,Q37491358,3,1,2026-04-11T03:53:58.817238+00:00
Abdullahi,Abdullahi,abdullahi,family,NG|SO,en,wikidata,Q37550068,6,2,2026-04-11T04:05:06.670758+00:00
Abdullai,Abdullai,abdullai,family,GH,en,wikidata,Q122232858,1,1,2026-04-11T03:55:04.900162+00:00
Abdulqadir,Abdulqadir,abdulqadir,family,GH,en,wikidata,Q317520,2,2,2026-04-11T03:55:04.900162+00:00
Abdulrahaman,Abdulrahaman,abdulrahaman,family,NG,en,wikidata,Q136141824,1,1,2026-04-11T03:54:49.551750+00:00
Abdulraheem,Abdulraheem,abdulraheem,family,NG,en,wikidata,Q116364082|Q37572672,4,2,2026-04-11T03:53:58.817238+00:00
Abdulrahman,Abdulrahman,abdulrahman,family,NG,en|fr,wikidata,Q307378|Q37005489,5,2,2026-04-11T03:53:58.817238+00:00
Abdulrasheed Abdulrahman,Abdulrasheed Abdulrahman,abdulrasheedabdulrahman,family,NG,en,wikidata,Q100642991,1,1,2026-04-11T03:53:58.817238+00:00
Abdulrasheed O Abdulrahman,Abdulrasheed O Abdulrahman,abdulrasheedoabdulrahman,family,NG,en,wikidata,Q100642991,1,1,2026-04-11T03:53:58.817238+00:00
Abdulrasheed Umaru,Abdulrasheed Umaru,abdulrasheedumaru,family,NG,en,wikidata,Q62625133,1,1,2026-04-11T03:53:58.817238+00:00
Abdulrashid,Abdulrashid,abdulrashid,family,NG,en,wikidata,Q121136264,2,2,2026-04-11T03:53:58.817238+00:00
Abdulrazak,Abdulrazak,abdulrazak,family,NG,en,wikidata,Q36969623,3,1,2026-04-11T03:53:58.817238+00:00
Abdulsalam,Abdulsalam,abdulsalam,family,GH|NG,en,wikidata,Q37300051,6,2,2026-04-11T03:55:04.900162+00:00
Abdul-Samad,Abdul-Samad,abdulsamad,family,GH,en,wikidata,Q126280026,1,1,2026-04-11T03:55:04.900162+00:00
Abdul Sattar Edhi,Abdul Sattar Edhi,abdulsattaredhi,family,NG,en,wikidata,Q317465,1,1,2026-04-11T03:53:58.817238+00:00
Abdulwahab,Abdulwahab,abdulwahab,family,NG,en,wikidata,Q37136108,3,1,2026-04-11T03:53:58.817238+00:00
Abdurahman,Abdurahman,abdurahman,family,SO,en,wikidata,Q37520215,4,2,2026-04-11T04:05:06.670758+00:00
Abdurrahman,Abdurrahman,abdurrahman,family,NG|SO,en|fr,wikidata,Q20000047|Q307378|Q37010213,13,8,2026-04-11T04:05:06.670758+00:00
Abe,Abe,abe,family,UG,en,wikidata,Q11160829,1,1,2026-04-11T04:02:16.934249+00:00
Abebe,Abebe,abebe,family,ET,en,wikidata,Q16148204,4,3,2026-04-11T04:03:51.884736+00:00
Abed,Abed,abed,family,TZ,en,wikidata,Q37211414,3,1,2026-04-11T04:03:05.784060+00:00
Abégúnrìn,Abégúnrìn,abegunrin,family,NG,en,wikidata,Q116369468,1,1,2026-04-11T03:53:58.817238+00:00
Abeid,Abeid,abeid,family,TZ,en,wikidata,Q4666507,1,1,2026-04-11T04:03:05.784060+00:00
Abel,Abel,abel,family,ER|NG,en,wikidata,Q318363,8,4,2026-04-11T04:06:05.956447+00:00
Abeng,Abeng,abeng,family,NG,en,wikidata,Q96652088,2,1,2026-04-11T03:53:58.817238+00:00
Aber,Aber,aber,family,UG,en,wikidata,Q16001400,3,1,2026-04-11T04:02:16.934249+00:00
Abera,Abera,abera,family,ER|ET,en,wikidata,Q21502323,2,2,2026-04-11T04:06:05.956447+00:00
Abeyie,Abeyie,abeyie,family,GH,en,wikidata,Q4667254,1,1,2026-04-11T03:55:04.900162+00:00
Abi,Abi,abi,family,NG,en,wikidata,Q37171028,3,1,2026-04-11T03:53:58.817238+00:00
Abia,Abia,abia,family,NG,en,wikidata,Q16001410,1,1,2026-04-11T03:53:58.817238+00:00
Abiboulaye,Abiboulaye,abiboulaye,family,NE,en,wikidata,Q131480116,3,1,2026-04-11T03:59:54.371781+00:00
Abifade,Abifade,abifade,family,NG,en,wikidata,Q124054864,1,1,2026-04-11T03:53:58.817238+00:00
Abimbola,Abimbola,abimbola,family,NG,en,wikidata,Q4667798,1,1,2026-04-11T03:53:58.817238+00:00
Abiodun,Abiodun,abiodun,family,NG,en,wikidata,Q37555554,3,1,2026-04-11T03:53:58.817238+00:00
Abiola,Abiola,abiola,family,GH|NG,en,wikidata,Q21488221,2,2,2026-04-11T03:55:04.900162+00:00
Abioye,Abioye,abioye,family,NG,en,wikidata,Q37553379,3,1,2026-04-11T03:53:58.817238+00:00
Abisoye,Abisoye,abisoye,family,NG,en,wikidata,Q116368094,1,1,2026-04-11T03:53:58.817238+00:00
Abitty,Abitty,abitty,family,GH,en,wikidata,Q125500561,1,1,2026-04-11T03:55:04.900162+00:00
Ablade,Ablade,ablade,family,GH,en,wikidata,Q4668040,1,1,2026-04-11T03:55:04.900162+00:00
Aboagye,Aboagye,aboagye,family,GH,en,wikidata,Q4668198,1,1,2026-04-11T03:55:04.900162+00:00
Abolarinwa,Abolarinwa,abolarinwa,family,NG,en,wikidata,Q116368565,3,1,2026-04-11T03:53:58.817238+00:00
Abood,Abood,abood,family,TZ,en,wikidata,Q30091212,3,1,2026-04-11T04:03:05.784060+00:00
Aborah,Aborah,aborah,family,GH,en,wikidata,Q4668313,1,1,2026-04-11T03:55:04.900162+00:00
Abore,Abore,abore,family,NG,en,wikidata,Q20129415,1,1,2026-04-11T03:53:58.817238+00:00
Abosede,Abosede,abosede,family,NG,en,wikidata,Q116368471,1,1,2026-04-11T03:53:58.817238+00:00
Abot,Abot,abot,family,GH,en,wikidata,Q73046502,2,1,2026-04-11T03:55:04.900162+00:00
Abou,Abou,abou,family,NE,en,wikidata,Q21494364,3,1,2026-04-11T03:59:54.371781+00:00
Aboubacar,Aboubacar,aboubacar,family,NE,en,wikidata,Q23727104,3,1,2026-04-11T03:59:54.371781+00:00
Aboud,Aboud,aboud,family,TZ,en,wikidata,Q23776051,3,1,2026-04-11T04:03:05.784060+00:00
Abraha,Abraha,abraha,family,ER,en,wikidata,Q37140762,3,1,2026-04-11T04:06:05.956447+00:00
Abraham,Abraham,abraham,family,ER|ET|NG|SL,en,wikidata,Q13367920,20,12,2026-04-11T04:06:05.956447+00:00
Abriel,Abriel,abriel,family,NG,en,wikidata,Q21074873,3,1,2026-04-11T03:53:58.817238+00:00
Abu,Abu,abu,family,GH|NG,en,wikidata,Q79783064,6,2,2026-04-11T03:55:04.900162+00:00
Abubakar,Abubakar,abubakar,family,GH|KE|NE|NG|SO,en,wikidata,Q36963365,15,5,2026-04-11T04:05:06.670758+00:00
Abudu,Abudu,abudu,family,GH|NG,en,wikidata,Q108871866,6,2,2026-04-11T03:55:04.900162+00:00
Abuom,Abuom,abuom,family,KE,en,wikidata,Q130283193,1,1,2026-04-11T04:01:06.680289+00:00
Abura,Abura,abura,family,KE,en,wikidata,Q129571466,1,1,2026-04-11T04:01:06.680289+00:00
Abusua,Abusua,abusua,family,GH,en,wikidata,Q138817767,1,1,2026-04-11T03:55:14.064481+00:00
Accam,Accam,accam,family,GH,en,wikidata,Q108710819,4,3,2026-04-11T03:55:04.900162+00:00
Acha,Acha,acha,family,NG,en,wikidata,Q37483320,3,1,2026-04-11T03:53:58.817238+00:00
Acheampong,Acheampong,acheampong,family,GH,en,wikidata,Q30525311,1,1,2026-04-11T03:55:04.900162+00:00
Achebe,Achebe,achebe,family,NG,en,wikidata,Q37457966,3,1,2026-04-11T03:53:58.817238+00:00
Achiuwa,Achiuwa,achiuwa,family,NG,en,wikidata,Q134567356,1,1,2026-04-11T03:53:58.817238+00:00
Acholonu,Acholonu,acholonu,family,NG,en,wikidata,Q4673874,1,1,2026-04-11T03:53:58.817238+00:00
Ackon,Ackon,ackon,family,GH,en,wikidata,Q131632534,1,1,2026-04-11T03:55:04.900162+00:00
Acogny,Acogny,acogny,family,SN,en,wikidata,Q124635148,1,1,2026-04-11T03:55:29.976892+00:00
Acolatse,Acolatse,acolatse,family,GH,en,wikidata,Q37507202,3,1,2026-04-11T03:55:04.900162+00:00
Acquah,Acquah,acquah,family,GH,en,wikidata,Q21487850,1,1,2026-04-11T03:55:04.900162+00:00
Acquaviva,Acquaviva,acquaviva,family,GN,en,wikidata,Q27133628,3,1,2026-04-11T03:56:43.370233+00:00
Acquaye,Acquaye,acquaye,family,GH,en,wikidata,Q37534866,3,1,2026-04-11T03:55:04.900162+00:00
Ada,Ada,ada,family,NG,en,wikidata,Q37502609,6,1,2026-04-11T03:53:58.817238+00:00
Adachi,Adachi,adachi,family,NG,en,wikidata,Q16058065,1,1,2026-04-11T03:53:58.817238+00:00
Adam,Adam,adam,family,GH|KE|ML|NG|SO|UG,en,wikidata,Q10379699,18,6,2026-04-11T04:05:06.670758+00:00
Adama,Adama,adama,family,GH|NG,en,wikidata,Q16158225,6,2,2026-04-11T03:55:04.900162+00:00
Adam al-Ilory,Adam al-Ilory,adamalilory,family,NG,en,wikidata,Q2824027,1,1,2026-04-11T03:53:58.817238+00:00
Adamo,Adamo,adamo,family,NG,en,wikidata,Q21448987,3,1,2026-04-11T03:53:58.817238+00:00
Adamolekun,Adamolekun,adamolekun,family,NG,en,wikidata,Q111663949,3,1,2026-04-11T03:53:58.817238+00:00
Adamou,Adamou,adamou,family,NE,en,wikidata,Q21431253,1,1,2026-04-11T03:59:54.371781+00:00
Adams,Adams,adams,family,GH|GM|NG|SN,en,wikidata,Q351735,4,4,2026-04-11T03:55:47.241547+00:00
Adamson,Adamson,adamson,family,NG,en,wikidata,Q16158399,2,1,2026-04-11T03:53:58.817238+00:00
Adamu,Adamu,adamu,family,GH|NE|NG,en,wikidata,Q21506733,3,3,2026-04-11T03:59:54.371781+00:00
Adan,Adan,adan,family,KE|SO,en,wikidata,Q16146656,6,2,2026-04-11T04:05:06.670758+00:00
Adane,Adane,adane,family,ET,en,wikidata,Q36867672,3,1,2026-04-11T04:03:51.884736+00:00
Adani,Adani,adani,family,NG,en,wikidata,Q21488370,6,1,2026-04-11T03:53:58.817238+00:00
Addae,Addae,addae,family,GH,en,wikidata,Q4680998,1,1,2026-04-11T03:55:04.900162+00:00
Addai,Addai,addai,family,GH,en,wikidata,Q21430851,1,1,2026-04-11T03:55:04.900162+00:00
Addardey,Addardey,addardey,family,GH,en,wikidata,Q118220011,3,1,2026-04-11T03:55:04.900162+00:00
Addison,Addison,addison,family,GH,en,wikidata,Q16001762,3,1,2026-04-11T03:55:04.900162+00:00
Addo,Addo,addo,family,GH,en,wikidata,Q10858648,3,1,2026-04-11T03:55:04.900162+00:00
Addy,Addy,addy,family,GH|LR,en,wikidata,Q16479298,2,2,2026-04-11T03:56:18.349080+00:00
Adeaga,Adeaga,adeaga,family,NG,en,wikidata,Q116368502,1,1,2026-04-11T03:53:58.817238+00:00
Adebanji,Adebanji,adebanji,family,NG,en,wikidata,Q116368109,1,1,2026-04-11T03:53:58.817238+00:00
Adebanjo,Adebanjo,adebanjo,family,NG,en,wikidata,Q37473839,3,1,2026-04-11T03:53:58.817238+00:00
Adébánkẹ́,Adébánkẹ́,adebanke,family,NG,en,wikidata,Q116369541,1,1,2026-04-11T03:53:58.817238+00:00
Adébáyɔ̀,Adébáyɔ̀,adebay,family,NG,fr,wikidata,Q4681466,1,1,2026-04-11T03:53:58.817238+00:00
Adebayo,Adebayo,adebayo,family,NG,en|fr,wikidata,Q4681466,2,2,2026-04-11T03:53:58.817238+00:00
Adebisi,Adebisi,adebisi,family,NG,en,wikidata,Q21506747,1,1,2026-04-11T03:53:58.817238+00:00
Adebo,Adebo,adebo,family,NG,en,wikidata,Q116368541,1,1,2026-04-11T03:53:58.817238+00:00
Adebowale,Adebowale,adebowale,family,NG,en,wikidata,Q4681478,1,1,2026-04-11T03:53:58.817238+00:00
Adebukola,Adebukola,adebukola,family,NG,en,wikidata,Q116368601,1,1,2026-04-11T03:53:58.817238+00:00
Adebule,Adebule,adebule,family,NG,en,wikidata,Q116368116,2,1,2026-04-11T03:53:58.817238+00:00
Adedayo,Adedayo,adedayo,family,NG,en,wikidata,Q4681481,2,1,2026-04-11T03:53:58.817238+00:00
Adedeji,Adedeji,adedeji,family,NG,en,wikidata,Q4681480,3,1,2026-04-11T03:53:58.817238+00:00
Adediran,Adediran,adediran,family,NG,en,wikidata,Q37033024,3,1,2026-04-11T03:53:58.817238+00:00
Adedoja,Adedoja,adedoja,family,NG,en,wikidata,Q116368645,2,1,2026-04-11T03:53:58.817238+00:00
Adedokun,Adedokun,adedokun,family,NG,en,wikidata,Q37197449,6,1,2026-04-11T03:53:58.817238+00:00
Adedotun,Adedotun,adedotun,family,NG,en,wikidata,Q116368122,1,1,2026-04-11T03:53:58.817238+00:00
Adefarasin,Adefarasin,adefarasin,family,NG,en,wikidata,Q21430891,1,1,2026-04-11T03:53:58.817238+00:00
Adefarati,Adefarati,adefarati,family,NG,en,wikidata,Q116368468,1,1,2026-04-11T03:53:58.817238+00:00
Adefemi,Adefemi,adefemi,family,NG,en,wikidata,Q116368864,2,2,2026-04-11T03:53:58.817238+00:00
Adefila,Adefila,adefila,family,NG,en,wikidata,Q116368128,2,1,2026-04-11T03:53:58.817238+00:00
Adefolahan,Adefolahan,adefolahan,family,NG,en,wikidata,Q112862581,3,1,2026-04-11T03:53:58.817238+00:00
Adefope,Adefope,adefope,family,NG,en,wikidata,Q48979171,1,1,2026-04-11T03:53:58.817238+00:00
Adefunke,Adefunke,adefunke,family,NG,en,wikidata,Q116368131,1,1,2026-04-11T03:53:58.817238+00:00
Adefuye,Adefuye,adefuye,family,NG,en,wikidata,Q57780279,1,1,2026-04-11T03:53:58.817238+00:00
Adegbenro,Adegbenro,adegbenro,family,NG,en,wikidata,Q116369038,1,1,2026-04-11T03:53:58.817238+00:00
Adegbesan,Adegbesan,adegbesan,family,NG,en,wikidata,Q114346935,1,1,2026-04-11T03:53:58.817238+00:00
Adegbile,Adegbile,adegbile,family,NG,en,wikidata,Q116368134,1,1,2026-04-11T03:53:58.817238+00:00
Adegbite,Adegbite,adegbite,family,NG,en,wikidata,Q4681510,1,1,2026-04-11T03:53:58.817238+00:00
Adegbola,Adegbola,adegbola,family,NG,en,wikidata,Q116368135,1,1,2026-04-11T03:53:58.817238+00:00
Adegoriola,Adegoriola,adegoriola,family,NG,en,wikidata,Q116368630,1,1,2026-04-11T03:53:58.817238+00:00
Adegun,Adegun,adegun,family,NG,en,wikidata,Q116368139,1,1,2026-04-11T03:53:58.817238+00:00
Adégúnwà,Adégúnwà,adegunwa,family,NG,en,wikidata,Q131407061,1,1,2026-04-11T03:54:55.800945+00:00
Adejobi,Adejobi,adejobi,family,NG,en,wikidata,Q74127840,3,1,2026-04-11T03:53:58.817238+00:00
Adejumo,Adejumo,adejumo,family,NG,en,wikidata,Q37480433,3,1,2026-04-11T03:53:58.817238+00:00
Adejuyigbe,Adejuyigbe,adejuyigbe,family,NG,en,wikidata,Q56683637,1,1,2026-04-11T03:53:58.817238+00:00
Adekanbi,Adekanbi,adekanbi,family,NG,en,wikidata,Q79688183,3,1,2026-04-11T03:53:58.817238+00:00
Adekeye,Adekeye,adekeye,family,NG,en,wikidata,Q116368406,1,1,2026-04-11T03:53:58.817238+00:00
Adekogbe,Adekogbe,adekogbe,family,NG,en,wikidata,Q116368150,1,1,2026-04-11T03:53:58.817238+00:00
Adekola,Adekola,adekola,family,NG,en,wikidata,Q36864716,3,1,2026-04-11T03:53:58.817238+00:00
Adekoya,Adekoya,adekoya,family,NG,en,wikidata,Q17509760,2,2,2026-04-11T03:53:58.817238+00:00
Adekunle,Adekunle,adekunle,family,NG,en,wikidata,Q37016402,3,1,2026-04-11T03:53:58.817238+00:00
Adelekan,Adelekan,adelekan,family,NG,en,wikidata,Q36876284,3,1,2026-04-11T03:53:58.817238+00:00
Adeleke,Adeleke,adeleke,family,NG,en,wikidata,Q108307799,3,1,2026-04-11T03:53:58.817238+00:00
Adelekun,Adelekun,adelekun,family,NG,en,wikidata,Q131406961,1,1,2026-04-11T03:54:55.800945+00:00
Adeleye,Adeleye,adeleye,family,GH|NG,en,wikidata,Q4681919,2,2,2026-04-11T03:55:04.900162+00:00
Adélọ́lá,Adélọ́lá,adelola,family,NG,en,wikidata,Q116368966,1,1,2026-04-11T03:53:58.817238+00:00
Adelugba,Adelugba,adelugba,family,NG,en,wikidata,Q116368158,1,1,2026-04-11T03:53:58.817238+00:00
Adélúsì,Adélúsì,adelusi,family,NG,en,wikidata,Q116368894,1,1,2026-04-11T03:54:55.800945+00:00
Adema,Adema,adema,family,KE,en,wikidata,Q37442564,3,1,2026-04-11T04:01:06.680289+00:00
Ademehin,Ademehin,ademehin,family,NG,en,wikidata,Q131407025,1,1,2026-04-11T03:54:55.800945+00:00
Ademiluyi,Ademiluyi,ademiluyi,family,NG,en,wikidata,Q116369066,2,1,2026-04-11T03:53:58.817238+00:00
Ademola,Ademola,ademola,family,NG,en,wikidata,Q27357908|Q4682139,4,2,2026-04-11T03:53:58.817238+00:00
Aden,Aden,aden,family,SO,en,wikidata,Q36882867,3,1,2026-04-11T04:05:06.670758+00:00
Adeniran,Adeniran,adeniran,family,NG,en,wikidata,Q36944178,3,1,2026-04-11T03:53:58.817238+00:00
Adeniyi,Adeniyi,adeniyi,family,NG,en,wikidata,Q4682228,1,1,2026-04-11T03:53:58.817238+00:00
Adenle,Adenle,adenle,family,NG,en,wikidata,Q116368164,1,1,2026-04-11T03:53:58.817238+00:00
Adénọ́wọ̀,Adénọ́wọ̀,adenowo,family,NG,en,wikidata,Q116369303,1,1,2026-04-11T03:53:58.817238+00:00
Adenrele,Adenrele,adenrele,family,NG,en,wikidata,Q116368165,1,1,2026-04-11T03:53:58.817238+00:00
Adenuga,Adenuga,adenuga,family,NG,en,wikidata,Q4682312,3,1,2026-04-11T03:53:58.817238+00:00
Adeola,Adeola,adeola,family,NE|NG,en,wikidata,Q37448768,6,2,2026-04-11T03:59:54.371781+00:00
Adeoluwa,Adeoluwa,adeoluwa,family,NG,en,wikidata,Q116368652,1,1,2026-04-11T03:53:58.817238+00:00
Adeosun,Adeosun,adeosun,family,NG,en,wikidata,Q36914693,3,1,2026-04-11T03:53:58.817238+00:00
Adeoti,Adeoti,adeoti,family,NG,en,wikidata,Q116368171,3,1,2026-04-11T03:53:58.817238+00:00
Adeoye,Adeoye,adeoye,family,NG,en,wikidata,Q37279821,3,1,2026-04-11T03:53:58.817238+00:00
Adepoju,Adepoju,adepoju,family,NG,en,wikidata,Q4682331,1,1,2026-04-11T03:53:58.817238+00:00
Adépọ́nmilé,Adépọ́nmilé,adeponmile,family,NG,en,wikidata,Q116369481,1,1,2026-04-11T03:53:58.817238+00:00
Adera,Adera,adera,family,KE,en,wikidata,Q37195994,3,1,2026-04-11T04:01:06.680289+00:00
Aderemi,Aderemi,aderemi,family,NG,en,wikidata,Q58412297,1,1,2026-04-11T03:53:58.817238+00:00
Aderibigbe,Aderibigbe,aderibigbe,family,NG,en,wikidata,Q37128864,3,1,2026-04-11T03:53:58.817238+00:00
Adérìnókun,Adérìnókun,aderinokun,family,NG,en,wikidata,Q116369405,1,1,2026-04-11T03:53:58.817238+00:00
Aderinto,Aderinto,aderinto,family,NG,en,wikidata,Q116368178,1,1,2026-04-11T03:53:58.817238+00:00
Adéróunmú,Adéróunmú,aderounmu,family,NG,en,wikidata,Q116369057,1,1,2026-04-11T03:53:58.817238+00:00
Adesanya,Adesanya,adesanya,family,NG,en,wikidata,Q4682363,1,1,2026-04-11T03:53:58.817238+00:00
Adesewa,Adesewa,adesewa,family,NG,en,wikidata,Q116368190,1,1,2026-04-11T03:53:58.817238+00:00
Adeshina,Adeshina,adeshina,family,NG,en,wikidata,Q4682373,1,1,2026-04-11T03:53:58.817238+00:00
Adéshọlá,Adéshọlá,adeshola,family,NG,en,wikidata,Q116369158,2,1,2026-04-11T03:53:58.817238+00:00
Adesina,Adesina,adesina,family,NG,en,wikidata,Q36888235,3,1,2026-04-11T03:53:58.817238+00:00
Adéṣiyùn,Adéṣiyùn,adesiyun,family,NG,en,wikidata,Q116369730,1,1,2026-04-11T03:53:58.817238+00:00
Adesoji,Adesoji,adesoji,family,NG,en,wikidata,Q4682380,1,1,2026-04-11T03:53:58.817238+00:00
Adesokan,Adesokan,adesokan,family,NG,en,wikidata,Q116368192,1,1,2026-04-11T03:53:58.817238+00:00
Adesola,Adesola,adesola,family,NG,en,wikidata,Q116368193,1,1,2026-04-11T03:53:58.817238+00:00
Adesoye,Adesoye,adesoye,family,NG,en,wikidata,Q108307077,3,1,2026-04-11T03:53:58.817238+00:00
Adesuwa,Adesuwa,adesuwa,family,NG,en,wikidata,Q116368198,1,1,2026-04-11T03:53:58.817238+00:00
