name_display,name_nfc,name_ascii_key,name_type,countries,languages,sources,source_ids,total_evidence_count,occurrence_count,last_seen_at
Schneersohn,Schneersohn,schneersohn,family,ER,en,wikidata,Q1499320,1,1,2026-04-11T04:06:05.956447+00:00
Schneerson,Schneerson,schneerson,family,ER,fr,wikidata,Q1499320,1,1,2026-04-11T04:06:05.956447+00:00
Schommer,Schommer,schommer,family,RW,en,wikidata,Q21509477,3,1,2026-04-11T04:06:35.644753+00:00
Schwartz,Schwartz,schwartz,family,SL,en,wikidata,Q2253414,1,1,2026-04-11T03:56:03.432992+00:00
Scott,Scott,scott,family,GH|LR|NG|UG,en,wikidata,Q12800811,12,4,2026-04-11T04:02:16.934249+00:00
Seaman,Seaman,seaman,family,NG,en,wikidata,Q35933114,3,1,2026-04-11T03:53:58.817238+00:00
Sebahizi,Sebahizi,sebahizi,family,RW,en,wikidata,Q133290100,1,1,2026-04-11T04:06:35.644753+00:00
Seck,Seck,seck,family,GN|ML|SN,en,wikidata,Q3476995,9,3,2026-04-11T03:58:48.444484+00:00
Secka,Secka,secka,family,GM,en,wikidata,Q37147205,3,1,2026-04-11T03:55:47.241547+00:00
Seda,Seda,seda,family,KE,en,wikidata,Q55349544,3,1,2026-04-11T04:01:06.680289+00:00
See - say,See - say,seesay,family,GM,en,wikidata,Q1052654,1,1,2026-04-11T03:55:47.241547+00:00
Sefir,Sefir,sefir,family,ET,en,wikidata,Q99911636,2,1,2026-04-11T04:03:51.884736+00:00
Segawa,Segawa,segawa,family,UG,en,wikidata,Q131394025|Q26203192,2,2,2026-04-11T04:02:16.934249+00:00
Sege,Sege,sege,family,ML,en,wikidata,Q133514537,1,1,2026-04-11T03:58:48.444484+00:00
segun,segun,segun,family,NG,en,wikidata,Q24969535|Q57329218,7,2,2026-04-11T03:53:58.817238+00:00
Seid,Seid,seid,family,ET,en,wikidata,Q30128729,3,1,2026-04-11T04:03:51.884736+00:00
Seidu,Seidu,seidu,family,GH,en,wikidata,Q125365710|Q48979506,2,2,2026-04-11T03:55:04.900162+00:00
Seif,Seif,seif,family,TZ,en,wikidata,Q30093916,3,1,2026-04-11T04:03:05.784060+00:00
Sekagya,Sekagya,sekagya,family,UG,en,wikidata,Q108692141,2,1,2026-04-11T04:02:16.934249+00:00
Sekidika,Sekidika,sekidika,family,NG,en,wikidata,Q106232002,2,2,2026-04-11T03:53:58.817238+00:00
Sekyere,Sekyere,sekyere,family,GH,en,wikidata,Q37498216,3,1,2026-04-11T03:55:04.900162+00:00
